"Gene.ID","moduleColor","GS.","p.GS.","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.green","p.MM.green"
"ENSG00000136436","turquoise",-0.884465811148152,7.91740317609573e-60,0.930935276097434,1.77870563476884e-78,-0.841595003648694,1.09132843424574e-48,0.586809668371221,9.24295781071172e-18
"ENSG00000123124","turquoise",-0.867716136244711,5.15434990655441e-55,0.922987043440079,1.72362596050179e-74,-0.800887780181034,7.96191010761501e-41,0.618363205050584,4.71221269464417e-20
"ENSG00000164209","turquoise",-0.859009453656889,9.14533646874176e-53,0.91759101748795,5.07708327110119e-72,-0.818552137990449,5.39939571095587e-44,0.686435520695919,5.35724607374482e-26
"ENSG00000186298","turquoise",-0.854252510428373,1.34023731742481e-51,0.920701395397113,2.01239998756169e-73,-0.874450469588783,7.24613431951699e-57,0.564296518352628,2.85314750371044e-16
"ENSG00000120910","turquoise",-0.848001517695925,3.96130742097763e-50,0.900375242764008,3.80528261454971e-65,-0.855270696339207,7.60553389734507e-52,0.617602485908098,5.38951259856967e-20
"ENSG00000129116","turquoise",-0.843738918525727,3.65806868531089e-49,0.920443624035396,2.64277713085775e-73,-0.836751538688425,1.21581230042394e-47,0.624006010304527,1.72025031318294e-20
"ENSG00000061676","turquoise",-0.837429092112202,8.71942365291944e-48,0.916887626253473,1.03508379703578e-71,-0.793955922609225,1.14450742246115e-39,0.696917530707812,4.6338741463973e-27
"ENSG00000075413","turquoise",-0.835445671644198,2.29760759669908e-47,0.899794174299225,6.16652668160101e-65,-0.851605048145202,5.7318185592057e-51,0.568119495948944,1.6231028875129e-16
"ENSG00000174437","turquoise",-0.835060773715844,2.76875371389858e-47,0.894049462432643,6.25305549800198e-63,-0.809108668685646,2.93399375406565e-42,0.557069154393304,8.12704783777886e-16
"ENSG00000085063","turquoise",-0.835015913849094,2.82951681733877e-47,0.887385490028896,9.62360480179217e-61,-0.85490074734515,9.3486298917003e-52,0.519542332663401,1.26610786050174e-13
"ENSG00000213341","turquoise",-0.83357406976577,5.6654890118408e-47,0.917359382554806,6.42383700324348e-72,-0.799002800807621,1.66067570430471e-40,0.632649264425656,3.52974366185349e-21
"ENSG00000096063","turquoise",-0.832296606235706,1.04227719634643e-46,0.897944645152133,2.81129058668059e-64,-0.798948823224095,1.69580986699645e-40,0.600523529526367,1.00099969390297e-18
"ENSG00000151116","turquoise",-0.832257072957467,1.06203937400315e-46,0.893514475328906,9.48444484459575e-63,-0.822794820354493,8.30975797813454e-45,0.60517829924429,4.5935139598983e-19
"ENSG00000164946","turquoise",0.831625867578895,1.43250916594496e-46,-0.858036664450896,1.59619725778546e-52,0.784548181793327,3.63517301678287e-38,-0.603596570691558,5.99401632406836e-19
"ENSG00000078747","turquoise",-0.831089279632781,1.84565378916309e-46,0.927767716108942,7.82068302107197e-77,-0.764270846914085,3.5929136143291e-35,0.685177670761344,7.13672703885696e-26
"ENSG00000108061","turquoise",-0.828861760066691,5.23482888020145e-46,0.906771226329509,1.5258895998785e-67,-0.787627968379289,1.19469210114327e-38,0.663534553941376,7.98816733083913e-24
