"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"cm_lasso.overall",0.962264150943396,0.923959827833572,0.870241618336938,0.995396890725685,0.566037735849057,6.77698510219532e-11,0.479500122186953
"cm_SVMRFE.overall",1,1,0.932765453693699,1,0.566037735849057,7.95802705520617e-14,NA
