"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070661","BP","GO:0070661","leukocyte proliferation","102/4115","356/18860",0.286516853932584,1.31317323576392,3.15136487613016,0.00134807139862498,0.0479542774152379,0.0415716874211861,"8379/6376/920/2534/7305/933/923/972/11119/10077/5588/6929/2213/4208/581/5027/2323/30835/1725/3717/1439/958/4773/959/10673/5595/3574/951/64926/7040/10467/6461/6355/683/56253/975/10312/51561/9750/4883/7535/6869/7128/1191/23240/9479/4693/10385/652/57045/684/3620/2048/6441/10457/90865/51176/79798/2796/1029/5169/931/146433/3815/8764/1636/23308/115352/4332/1493/26585/3481/7001/11314/283234/3575/3635/3965/654346/3726/10125/202309/940/23513/1436/151888/7293/3123/4763/6693/84433/916/177/7940/3133/3135/5699/3105/3115/3113/4282/3109",102
"GO:1903038","BP","GO:1903038","negative regulation of leukocyte cell-cell adhesion","53/4115","165/18860",0.321212121212121,1.4721896977061,3.21823390768424,0.00135085304432355,0.0479542774152379,0.0415716874211861,"8379/972/864/10077/30009/3902/84861/3956/1511/5595/1445/951/7040/3718/2737/6387/56253/4192/969/8078/9750/84695/23240/54900/10385/652/57045/3620/6441/1840/10457/3142/6366/207/387597/2796/1029/56477/8764/861/1493/7001/11314/3965/654346/23513/201633/151888/3123/6693/441478/3133/3135",53
"GO:0008217","BP","GO:0008217","regulation of blood pressure","63/4115","203/18860",0.310344827586207,1.42238236896133,3.19635314973109,0.00135668662409351,0.0479542774152379,0.0415716874211861,"6915/4843/1535/1215/1312/5125/9424/1511/1522/5973/5919/59/5023/2784/4883/5443/6869/4879/554/7137/10266/2643/10631/9365/5025/8870/5547/585/6647/7424/2132/1909/23576/1636/4882/4041/6339/1359/7349/4886/64167/1278/367/4881/8862/4878/255061/3291/57085/186/5021/2149/2131/2621/57835/344901/257313/4311/28514/56670/199800/7124/3043",63
"GO:0048863","BP","GO:0048863","stem cell differentiation","79/4115","265/18860",0.29811320754717,1.36632201563539,3.17255914589853,0.00135683697026106,0.0479542774152379,0.0415716874211861,"4222/30812/7869/440193/6591/5610/57504/2263/55593/57560/53615/8626/51548/2260/4208/54437/6548/2099/57556/7042/8829/5595/6422/2068/5764/657/2348/55553/9037/59349/8828/26147/7291/860/652/6662/6608/8854/145258/10505/10322/3357/144165/93649/2627/10500/6423/4726/4851/2823/1909/223117/3084/8321/3815/55698/1636/553115/2487/8320/8820/64321/5979/26585/4054/2668/54910/1107/4300/10524/2131/9112/9241/6899/4070/25920/64218/632/10016",79
"GO:0003341","BP","GO:0003341","cilium movement","80/4115","269/18860",0.297397769516729,1.36304299710462,3.16814237252625,0.00137003265720769,0.048150142159182,0.0417414830755251,"51364/440193/79645/8481/23247/493/84217/29105/6865/7419/51314/64147/26074/114327/25809/93233/79846/9148/8382/25981/6869/1768/80127/159686/1769/583/64518/164395/480/22873/57639/26206/55329/85478/585/2622/22994/79932/55811/79582/83853/84131/54970/79925/26256/123872/118491/54768/144406/158787/56683/220004/200373/7802/150159/54919/84688/11092/25911/117155/7846/90522/352909/55130/285335/220136/339778/201625/255061/375189/100128569/126075/89876/146754/642987/64800/144535/80217/26140/161582",80
"GO:0097192","BP","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","27/4115","71/18860",0.380281690140845,1.74291924083994,3.31314779049457,0.00138769764748215,0.0485000327795011,0.0420448041614328,"572/6376/2534/6591/2139/2260/581/7042/3574/5518/219699/27429/3624/2537/5607/597/207/3084/5979/64112/7001/2668/666/4763/3304/3303/7124",27
"GO:0048265","BP","GO:0048265","response to pain","16/4115","35/18860",0.457142857142857,2.09519180697796,3.42593072977037,0.00140788928167515,0.0486101482609483,0.0421402635577932,"706/7060/6869/2643/5025/79969/1291/207/2890/7349/5979/11280/6335/64856/5649/4914",16
"GO:1901888","BP","GO:1901888","regulation of cell junction assembly","84/4115","285/18860",0.294736842105263,1.35084734923579,3.15281203758315,0.00141509372421013,0.0486101482609483,0.0421402635577932,"115703/6591/4653/65078/2042/5566/23332/2260/4208/1307/6548/55118/8829/9647/79953/6422/64130/22849/9148/9379/41/266727/51248/57622/94030/54862/5786/2048/187/2045/55619/144165/9746/8128/51057/90102/6622/7162/4915/1793/10160/7070/5578/51738/8321/64084/100528062/2039/1636/347730/3360/145581/26585/1613/54910/22883/131578/78999/26047/57633/627/139065/575/2049/7122/1946/84189/6092/23768/7058/90668/349667/375790/64218/9901/54413/84628/57799/4914/22899/8292/387804/7124/441381",84
"GO:0032331","BP","GO:0032331","negative regulation of chondrocyte differentiation","13/4115","26/18860",0.5,2.29161603888214,3.48153432924665,0.00142135882541488,0.0486101482609483,0.0421402635577932,"6591/2737/2202/652/6662/8200/7483/26585/4054/5916/144347/100533183/359845",13
"GO:0050772","BP","GO:0050772","positive regulation of axonogenesis","29/4115","78/18860",0.371794871794872,1.70402218275851,3.29142973447767,0.00142175604514616,0.0486101482609483,0.0421402635577932,"51330/8829/79006/1954/6387/9037/5605/10154/55811/1382/9353/26230/4915/5058/64221/140578/118813/7074/57611/6091/4135/29882/627/22906/1946/6092/23654/2664/11344",29
"GO:0019883","BP","GO:0019883","antigen processing and presentation of endogenous antigen","15/4115","32/18860",0.46875,2.148390036452,3.43466331729781,0.00144171591202797,0.0489251591617684,0.0424133473244354,"972/911/913/64167/6890/3123/3122/3107/3133/3135/3134/3136/3105/6892/3106",15
"GO:0061572","BP","GO:0061572","actin filament bundle organization","55/4115","173/18860",0.317919075144509,1.45709690333546,3.19068109757619,0.00144652354221728,0.0489251591617684,0.0424133473244354,"6376/4653/51474/23332/6624/3693/79822/5829/6548/8829/9647/10398/5358/6422/23370/9124/1809/6869/3925/335/1490/7043/10174/154796/80115/84952/80206/29109/80774/85462/408/585/10966/339768/90102/221061/5058/389/114822/2039/50944/134549/123016/79933/57175/253980/144347/100533183/359845/4070/116985/51466/961/22899/84501",55
"GO:0042733","BP","GO:0042733","embryonic digit morphogenesis","24/4115","61/18860",0.39344262295082,1.80323885026791,3.31943455764103,0.00145521295089759,0.0489558538721751,0.0424399566484684,"54903/60529/7289/581/51098/1954/2737/657/27077/7291/652/4613/144165/51057/6423/221322/4851/4041/27152/50515/84314/9241/9742/79583",24
"GO:0032956","BP","GO:0032956","regulation of actin cytoskeleton organization","102/4115","357/18860",0.285714285714286,1.30949487936122,3.11880601527744,0.0014891972843381,0.049233067867355,0.042680274179616,"1856/6376/85477/10178/6050/4653/2042/51474/1496/25791/9886/23332/6624/5063/54434/79822/5829/6548/7042/8829/23384/9647/23616/6422/23370/7040/6369/6387/57482/683/9037/6711/6869/5999/3925/335/1490/7043/64411/10174/154796/1236/11135/80115/84952/684/163782/80206/29109/50853/274/6366/585/10966/375/90102/9353/2044/10788/2934/5058/130271/389/114822/2039/146206/57731/50944/246/200539/10602/253260/123016/83700/79933/148170/1613/64223/11214/57175/54961/100287171/1436/55243/4070/5587/1946/8558/116985/90668/256949/51466/961/6840/5154/6709/81553/89848/22899/5987/24142/11344",102
