"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05222","Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","38/2511","64/4460",0.59375,1.05460971724413,0.499421512932922,0.35657229972807,0.993477625160068,0.92126997821861,"3675/1870/330/578/5291/5915/1286/3655/4616/331/3551/898/329/1871/2335/10000/8503/5290/51426/1017/1026/3911/1284/3915/4609/3685/5925/5295/3688/1285/598/5728/54205/9134/6256/1282/3908/1147",38
"hsa03082","Genetic Information Processing","Chromosome","hsa03082","ATP-dependent chromatin remodeling","42/2511","71/4460",0.591549295774648,1.05070085987851,0.488762504876305,0.358088975962848,0.993477625160068,0.92126997821861,"9031/51773/57492/54556/64431/60/11176/10847/27443/7528/6594/54108/94239/6603/8099/1108/23506/9555/54891/51377/8289/9643/8089/54617/55274/8932/86/6601/6760/54107/84295/5928/55193/3015/2186/26039/10933/10445/196528/8969/11177/55766",42
"hsa00062","Metabolism","Lipid metabolism","hsa00062","Fatty acid elongation","12/2511","19/4460",0.631578947368421,1.12180091806577,0.603841766010528,0.358657403001177,0.993477625160068,0.92126997821861,"60481/64834/3030/11332/3032/51144/117145/79993/9200/10449/79071/54898",12
"hsa01040","Metabolism","Lipid metabolism","hsa01040","Biosynthesis of unsaturated fatty acids","12/2511","19/4460",0.631578947368421,1.12180091806577,0.603841766010528,0.358657403001177,0.993477625160068,0.92126997821861,"60481/64834/11332/6342/3295/51144/3992/51/79993/9200/79071/54898",12
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","23/2511","38/4460",0.605263157894737,1.07505921314637,0.527378729348287,0.360726994849787,0.993477625160068,0.92126997821861,"5291/998/5594/5532/1432/7867/10000/8503/5533/5290/3791/5894/3845/5879/5530/5295/5603/9261/255189/5604/6714/4893/5534",23
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","51/2511","87/4460",0.586206896551724,1.041211771653,0.440582603988135,0.371735126080862,0.999999988482463,0.927318285058926,"5291/9759/1183/60/5594/51311/94239/727/1182/7450/1432/9555/10000/8503/5290/8970/718/8520/27180/5894/5879/7099/7097/2212/5295/2209/291/5603/3689/3015/6850/1536/7417/5604/3684/2358/2357/1184/64581/3146/8969/6714/728/1991/121504/2475/1378/2214/7416/55766/3690",51
"hsa04981","Organismal Systems","Digestive system","hsa04981","Folate transport and metabolism","9/2511","14/4460",0.642857142857143,1.14183307731695,0.603243967211628,0.374069589061149,0.999999988482463,0.927318285058926,"1244/4522/4363/8714/10257/23743/635/6470/4524",9
"hsa05218","Human Diseases","Cancer: specific types","hsa05218","Melanoma","29/2511","49/4460",0.591836734693878,1.05121140451402,0.409102723740502,0.398078152234825,0.999999988482463,0.927318285058926,"1870/578/5291/2255/4616/5594/4233/1871/5159/10000/8503/5290/51426/1026/5894/3845/5156/4193/2250/2247/1950/5925/2252/5295/1956/5604/5728/4286/4893",29
"hsa04148","Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","62/2511","107/4460",0.579439252336449,1.02919118495442,0.346884945974359,0.403466334822715,0.999999988482463,0.927318285058926,"23166/240/23200/23250/4775/384/23411/1399/5594/3091/4776/286410/3988/5878/1374/24145/5869/1432/55754/6513/1385/6446/51552/5468/84868/948/9392/5879/3586/7057/102/3685/89790/405/5868/817/6868/10461/9844/5603/714/9261/1849/840/1398/558/8754/5604/64805/1901/286046/203859/1051/713/488/5029/196527/5781/5087/6256/2057/3690",62
"hsa00563","Metabolism","Glycan biosynthesis and metabolism","hsa00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","10/2511","16/4460",0.625,1.11011549183592,0.500792207051704,0.406383974436186,0.999999988482463,0.927318285058926,"9488/94005/5283/5279/10026/54965/5277/84720/54872/23556",10
