"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0036464","GO:0036464","cytoplasmic ribonucleoprotein granule","121/5870","267/19944",0.453183520599251,1.53974312348066,5.73414707222438,2.39077472934375e-08,7.31577067179188e-07,4.92247933746988e-07,"7812/1992/54888/23644/27067/5685/23369/54542/28996/53339/4904/8653/6093/26986/998/10644/54715/1653/5317/55239/6175/8761/27327/23112/23351/5687/2332/2553/79752/8662/5683/57532/3837/51111/1656/4848/79632/9444/54464/8087/1981/7072/23215/23435/7706/27161/57169/23019/6629/192669/9513/85363/406/1965/9475/192670/23318/9575/4076/9924/27097/1660/149041/9470/5879/55833/580/6741/55132/9908/9960/8826/2886/8444/9898/6637/8994/64332/10146/10957/203228/1979/10658/85463/25819/1977/26019/7073/127933/4154/23367/9337/122402/23049/1780/5701/113251/1973/80149/11157/3190/348093/219988/55308/5936/170506/27257/9582/84967/9802/84206/253943/3182/9931/51441/29883/7150/26058/1654/23741/26065",121
"GO:0030684","GO:0030684","preribosome","57/5870","104/19944",0.548076923076923,1.86215437033154,5.69293718188308,5.47830740342782e-08,1.61188660139318e-06,1.08457178958551e-06,"51096/51154/51602/55781/10885/30836/51018/7520/27292/8602/23481/8780/117246/55813/11103/705/84128/79954/56902/80135/10969/55127/27340/10199/88745/83732/25983/56342/57050/51388/134430/55226/84946/92856/55759/84916/28987/128061/84294/22984/57647/153443/10813/23076/23160/84135/25879/65083/9790/90441/23212/51118/91582/161424/84549/51406/5591",57
"GO:0032587","GO:0032587","ruffle membrane","55/5870","100/19944",0.55,1.86868824531516,5.62412361429469,7.94827154356271e-08,2.2520102706761e-06,1.51528451649207e-06,"2268/6792/51177/10347/5141/387/10235/7430/11252/66036/23189/59338/1182/23603/9847/23286/57669/29993/83543/9026/1729/51763/92154/324/55198/3936/5879/7094/3685/9107/8394/221472/1956/5795/3688/114609/5756/2059/6868/23362/117145/3678/10630/10395/11170/255189/1072/221178/4771/4646/6714/4641/79574/4830/3690",55
"GO:0005793","GO:0005793","endoplasmic reticulum-Golgi intermediate compartment","70/5870","138/19944",0.507246376811594,1.72342789423006,5.50734049937241,1.15084190756868e-07,3.14426449746443e-06,2.11564546165821e-06,"23071/81671/11320/64398/3998/56005/9262/966/23259/10959/51290/64841/10175/9321/55757/5862/10652/11196/8729/9570/1075/4121/57222/64689/50999/128637/1315/4245/157680/51014/79056/56886/23392/55014/9107/79748/2589/57410/29097/10130/6836/51560/123720/11079/203547/10841/8613/7039/290/10972/51112/2804/285704/5771/90411/253832/9798/2055/2157/11261/51114/3146/1604/399687/5265/7405/2153/3633/6399/10597",70
"GO:0140534","GO:0140534","endoplasmic reticulum protein-containing complex","63/5870","121/19944",0.520661157024793,1.76900615258986,5.47953027823866,1.43524556751322e-07,3.78607882464694e-06,2.54749576230114e-06,"11231/29927/7353/6400/54431/9183/94005/2280/23193/51726/5283/81502/54941/84061/9761/23197/9789/6185/5033/55831/51141/23065/83460/51234/60559/10328/55829/56851/60561/5279/79139/51439/23478/10026/6726/10130/58477/10299/51144/10525/51594/267/84447/201595/6184/26043/5277/90701/7184/2923/93380/23204/11236/7485/55666/6734/11124/4217/439/5350/51465/58505/1650",63
"GO:0042470","GO:0042470","melanosome","59/5870","112/19944",0.526785714285714,1.78981504015576,5.41323244235865,2.08253496033271e-07,5.13915885372427e-06,3.45792731953377e-06,"6856/535/483/5873/7037/3320/23193/80331/191/5862/84079/6510/5878/7531/55161/5869/11021/10058/8934/6513/5052/10672/9367/821/813/5901/967/5879/10211/4647/8836/6386/2644/5861/1213/10130/5868/526/2040/3688/9601/23385/476/6184/1508/7534/538/7184/6809/7529/2923/6520/10015/10972/302/4673/27044/4644/3690",59
"GO:0048770","GO:0048770","pigment granule","59/5870","112/19944",0.526785714285714,1.78981504015576,5.41323244235865,2.08253496033271e-07,5.13915885372427e-06,3.45792731953377e-06,"6856/535/483/5873/7037/3320/23193/80331/191/5862/84079/6510/5878/7531/55161/5869/11021/10058/8934/6513/5052/10672/9367/821/813/5901/967/5879/10211/4647/8836/6386/2644/5861/1213/10130/5868/526/2040/3688/9601/23385/476/6184/1508/7534/538/7184/6809/7529/2923/6520/10015/10972/302/4673/27044/4644/3690",59
"GO:1902911","GO:1902911","protein kinase complex","76/5870","159/19944",0.477987421383648,1.62401722863296,5.10190816686742,7.4201246224846e-07,1.77387354256272e-05,1.19356609881413e-05,"10926/4331/9821/3645/5256/8621/5255/1459/7520/55437/905/8812/1457/5127/81617/5257/3551/898/51422/54619/56647/219771/9969/2965/2967/892/896/900/5576/90/79109/92/1017/1164/84612/1026/904/1032/5565/5562/5111/1022/902/79616/91/51719/10010/5925/2966/728340/85417/203228/56288/23097/5261/9133/899/152110/64343/7048/5584/57018/51755/983/9134/140775/51341/5571/29110/5613/4217/7405/2475/1147/5591/283106",76
"GO:0000228","GO:0000228","nuclear chromosome","105/5870","238/19944",0.441176470588235,1.49894779035976,5.00091951275367,9.63726732757157e-07,2.23409378957341e-05,1.50322925779346e-05,"55904/6853/9031/23649/5926/5888/51742/55388/54556/8243/64431/4292/57662/10714/10847/26747/546/4998/23594/8318/988/25777/5427/7528/57820/84312/1457/23347/54108/23064/9126/64151/8914/11052/5810/10111/9555/10051/54891/4999/5000/3065/51377/27030/23435/23397/55791/8805/192669/54617/7283/5111/1660/3364/86/10592/10128/58516/50511/675/23476/10498/54465/5558/253714/54892/55869/54107/3619/1111/144715/8467/3621/1105/84365/7273/5928/3020/56916/55249/11073/55193/8819/79685/5885/23514/5001/65083/55209/3622/5356/25855/5426/23212/1104/64785/10933/51547/10445/10388/641/5557/11177/7150/101928601",105
"GO:0090734","GO:0090734","site of DNA damage","66/5870","135/19944",0.488888888888889,1.66105621805792,4.97713619299346,1.43806529654244e-06,3.23564691722048e-05,2.17713291024536e-05,"6924/23376/4361/1161/5888/10721/54969/56852/7520/55183/55218/51720/79968/23468/23613/25939/23347/5932/4683/10094/8914/1108/25842/9025/10111/9555/10096/1386/10459/51426/54537/11335/78996/78995/9557/84250/51444/3364/9656/10097/55345/79035/253714/7518/5884/8467/10092/79677/56916/113510/10109/11073/165918/8065/254225/4824/55159/157570/149840/91607/545/51341/51547/57162/23137/112441434",66
