"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04392","Environmental Information Processing","Signal transduction","hsa04392","Hippo signaling pathway - multiple species","15/2723","24/4848",0.625,1.11274329783327,0.626720021013185,0.340097095468506,0.999943596933044,0.954658513595807,"25937/8463/9770/6788/83937/23286/55233/9113/8994/26524/60485/92597/4771/7003/7004",15
"hsa05208","Human Diseases","Cancer: overview","hsa05208","Chemical carcinogenesis - reactive oxygen species","82/2723","141/4848",0.581560283687943,1.03540369273564,0.482910761283119,0.346856199101675,0.999999999915543,0.95471236222047,"4257/4719/5601/5291/6416/5337/25/5594/3162/6655/3091/3551/4233/196/5599/506/1432/7422/23683/6654/515/10000/8503/2309/4709/5290/4698/1571/1349/5894/3845/2947/5879/1950/5170/6391/27/405/52/1956/5795/4718/291/1836/7381/673/516/873/5580/4712/509/7417/2948/5604/5747/5728/7388/115019/2885/9377/5781/1728/55967/1645/8644/5770/6714/4217/4541/4513/4519/4536/4512/4538/4535/4508/6392/4539/4893/1147/7416/65010",82
"hsa04370","Environmental Information Processing","Signal transduction","hsa04370","VEGF signaling pathway","23/2723","38/4848",0.605263157894737,1.07760403579643,0.54360623683436,0.354562258128703,0.999999999915543,0.95471236222047,"5291/998/5594/5532/1432/7422/10000/8503/5533/5290/3791/5894/3845/5879/5530/9261/4846/255189/5604/5747/6714/4893/5534",23
"hsa04115","Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","31/2723","52/4848",0.596153846153846,1.06138591485635,0.503746081162491,0.360238644289775,0.999999999915543,0.95471236222047,"637/50484/51512/27244/3732/4616/8797/898/5054/896/900/55240/8795/1017/1026/4193/7057/64326/9538/1111/9133/25898/836/983/8493/598/5728/54205/545/9134/6477",31
"hsa00220","Metabolism","Amino acid metabolism","hsa00220","Arginine biosynthesis","9/2723","14/4848",0.642857142857143,1.14453596348565,0.613009888174388,0.370236246236637,0.999999999915543,0.95471236222047,"384/383/2805/445/2752/2746/4846/2875/2747",9
"hsa05207","Human Diseases","Cancer: overview","hsa05207","Chemical carcinogenesis - receptor activation","64/2723","110/4848",0.581818181818182,1.03586285180116,0.430650047312648,0.370746667398066,0.999999999915543,0.95471236222047,"4257/23633/153/5291/2773/2255/6196/27330/3320/5594/6655/182/331/3839/196/10488/3837/6198/896/7422/604/3836/6654/1386/10000/8503/6195/1385/5290/2770/468/5894/3845/2947/4609/54852/109/2250/2247/1950/5925/2100/2252/405/1956/774/90993/115/7184/6774/2948/5604/154/6197/2885/3838/6256/3840/5465/1978/6714/2475/406886/4893",64
"hsa05020","Human Diseases","Neurodegenerative disease","hsa05020","Prion disease","98/2723","170/4848",0.576470588235294,1.02634205353092,0.395753571857006,0.376658903558198,0.999999999915543,0.95471236222047,"4719/5685/5601/5291/1459/113457/2932/5705/3710/5714/5594/4689/5706/5684/5693/5687/1457/5713/10382/858/857/5683/727/10488/5599/5532/5717/506/1432/730/10213/1386/515/8503/1385/4709/5533/5290/3709/10376/468/4698/1349/1965/3915/5879/5530/5686/6391/774/4684/4718/291/112714/4685/90550/7381/90993/714/516/5701/9861/5580/836/1536/4712/509/7417/84790/3800/54205/3310/713/712/7388/5707/64837/5708/79861/9377/55967/10383/5718/7278/6262/4541/4513/4519/4536/4512/4538/4535/4508/6392/4539/7416/5534/283106",98
"hsa00512","Metabolism","Glycan biosynthesis and metabolism","hsa00512","Mucin type O-glycan biosynthesis","13/2723","21/4848",0.619047619047619,1.10214574261581,0.530972625529035,0.381660333375927,0.999999999915543,0.95471236222047,"6482/55808/10610/57452/56913/117248/11226/2589/2590/9334/29071/256435/64409",13
"hsa05205","Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","82/2723","142/4848",0.577464788732394,1.02811211743469,0.384851011610086,0.383665219630236,0.999999999915543,0.95471236222047,"5291/1975/387/6093/998/2017/7430/3710/5594/7078/6655/3091/7976/858/857/4233/6198/1655/867/81029/1432/7422/7474/7475/6654/10000/8503/5290/3709/1026/2002/3791/5894/3845/10451/7482/9475/1514/967/4193/5879/7099/4609/7097/5962/7057/3685/2247/8826/5170/817/1956/4478/3688/27250/288/673/22808/7484/3678/7855/3673/836/8323/10818/6774/5604/5747/10855/8322/2885/5781/3059/5727/5501/23365/6714/2475/4893/5500/117581/3690",82
"hsa05226","Human Diseases","Cancer: specific types","hsa05226","Gastric cancer","57/2723","98/4848",0.581632653061224,1.03553253839178,0.40222895468117,0.383810178626536,0.999999999915543,0.95471236222047,"1870/578/1495/5291/2255/4292/5915/2932/5243/4616/5594/6655/7976/898/4233/1855/6198/81029/1871/1452/7474/7475/6654/10000/8503/5290/51426/1017/1026/5894/3845/7482/324/4609/2250/2247/1950/5925/2252/4089/1956/673/7484/6464/7855/7048/8323/4088/8313/5604/3728/8322/9134/2885/6256/2475/4893",57
