"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005762","GO:0005762","mitochondrial large ribosomal subunit","17/5343","54/19944",0.314814814814815,1.17512009482812,0.779492611998827,0.261189108657225,0.476128453303568,0.326661197646545,"29093/64983/51264/51258/11222/64981/57129/54534/29088/54148/64979/28998/51642/63899/28977/116540/9553",17
"GO:0032153","GO:0032153","cell division site","21/5343","68/19944",0.308823529411765,1.15275621759091,0.763282648487623,0.261526535454522,0.476128453303568,0.326661197646545,"5898/5586/387/8766/5414/9600/1894/10617/79768/56907/5962/55165/9051/388/3688/113026/29127/10801/5501/151011/4771",21
"GO:0098685","GO:0098685","Schaffer collateral - CA1 synapse","30/5343","100/19944",0.3,1.11982032565974,0.726628482959509,0.266302657987173,0.478534163426392,0.328311702136372,"5898/5048/153/5601/9474/6093/60/832/8766/6505/7474/5911/1948/3092/64101/55930/8500/5530/81609/388/3688/6854/7804/29/5584/6809/6774/10458/613/5534",30
"GO:0001891","GO:0001891","phagocytic cup","10/5343","30/19944",0.333333333333333,1.2442448062886,0.809847497818849,0.266590941955646,0.478534163426392,0.328311702136372,"10347/1785/57192/22841/9322/3936/5879/7099/56990/26253",10
"GO:0008303","GO:0008303","caspase complex","4/5343","10/19944",0.4,1.49309376754632,0.943471569234791,0.26730133932914,0.478534163426392,0.328311702136372,"823/94005/10026/824",4
"GO:0036396","GO:0036396","RNA N6-methyladenosine methyltransferase complex","4/5343","10/19944",0.4,1.49309376754632,0.943471569234791,0.26730133932914,0.478534163426392,0.328311702136372,"64863/79872/23091/9589",4
"GO:0051286","GO:0051286","cell tip","4/5343","10/19944",0.4,1.49309376754632,0.943471569234791,0.26730133932914,0.478534163426392,0.328311702136372,"5318/5962/51762/1674",4
"GO:0061700","GO:0061700","GATOR2 complex","4/5343","10/19944",0.4,1.49309376754632,0.943471569234791,0.26730133932914,0.478534163426392,0.328311702136372,"27244/81929/54468/23334",4
"GO:0098871","GO:0098871","postsynaptic actin cytoskeleton","4/5343","10/19944",0.4,1.49309376754632,0.943471569234791,0.26730133932914,0.478534163426392,0.328311702136372,"60/4650/3706/6453",4
"GO:0019898","GO:0019898","extrinsic component of membrane","49/5343","168/19944",0.291666666666667,1.08871420550253,0.698513996753126,0.267878519868125,0.478534163426392,0.328311702136372,"9921/1495/5291/10758/2769/2773/5141/28513/8301/5289/29887/2775/1399/59345/523/8503/10672/5290/60437/23263/8678/10142/51805/1837/324/9550/5530/1012/23533/5295/2768/526/64405/114609/2674/528/714/3716/56997/134957/64127/55970/4615/3728/8224/30849/51135/7405/1500",49
"GO:0001725","GO:0001725","stress fiber","26/5343","86/19944",0.302325581395349,1.12850110337803,0.722411848634552,0.270232806272936,0.480484031714262,0.329649463628569,"1265/10979/10529/10580/3983/23002/26258/103910/7010/11155/23022/51164/3936/55917/4026/57477/54751/10611/7171/11170/7798/171024/22885/10801/10634/4624",26
"GO:0097517","GO:0097517","contractile actin filament bundle","26/5343","86/19944",0.302325581395349,1.12850110337803,0.722411848634552,0.270232806272936,0.480484031714262,0.329649463628569,"1265/10979/10529/10580/3983/23002/26258/103910/7010/11155/23022/51164/3936/55917/4026/57477/54751/10611/7171/11170/7798/171024/22885/10801/10634/4624",26
"GO:0042588","GO:0042588","zymogen granule","7/5343","20/19944",0.35,1.30645704660303,0.829455085882453,0.273596383932834,0.484201972495085,0.332200260540234,"6813/9522/10959/9545/8673/6809/10972",7
"GO:0044754","GO:0044754","autolysosome","7/5343","20/19944",0.35,1.30645704660303,0.829455085882453,0.273596383932834,0.484201972495085,0.332200260540234,"3920/5289/55014/27314/203228/2495/54734",7
"GO:0005902","GO:0005902","microvillus","29/5343","97/19944",0.298969072164948,1.11597214584648,0.692609838765447,0.277870276226321,0.490624780065499,0.336606806712065,"8692/10411/23428/7430/9368/523/7010/5420/91860/529/5156/4647/5962/3685/55089/4478/526/23657/196394/1836/10630/10999/25932/283446/51741/4641/10809/9936/3690",29
"GO:0031092","GO:0031092","platelet alpha granule membrane","6/5343","17/19944",0.352941176470588,1.31743567724676,0.792055780672254,0.291856210117962,0.510580634252344,0.350298076753804,"94121/948/10184/135228/54495/3690",6
"GO:0031143","GO:0031143","pseudopodium","6/5343","17/19944",0.352941176470588,1.31743567724676,0.792055780672254,0.291856210117962,0.510580634252344,0.350298076753804,"5594/11155/5894/4478/824/10324",6
"GO:0072687","GO:0072687","meiotic spindle","6/5343","17/19944",0.352941176470588,1.31743567724676,0.792055780672254,0.291856210117962,0.510580634252344,0.350298076753804,"6196/6790/26271/79866/3619/221150",6
"GO:0160232","GO:0160232","INTAC complex","6/5343","17/19944",0.352941176470588,1.31743567724676,0.792055780672254,0.291856210117962,0.510580634252344,0.350298076753804,"55726/26512/55174/57117/25896/55656",6
"GO:0071339","GO:0071339","MLL1 complex","10/5343","31/19944",0.32258064516129,1.20410787705349,0.687968885280469,0.305628354800351,0.533447655970338,0.365986634430165,"51230/57680/29915/5929/6874/54881/84661/1876/10445/11091",10
"GO:0031464","GO:0031464","Cul4A-RING E3 ubiquitin ligase complex","5/5343","14/19944",0.357142857142857,1.33311943530922,0.754235329178919,0.312675486570026,0.540786466544976,0.371021629996968,"8451/64326/8450/25820/11146",5
"GO:0044194","GO:0044194","cytolytic granule","5/5343","14/19944",0.357142857142857,1.33311943530922,0.754235329178919,0.312675486570026,0.540786466544976,0.371021629996968,"1992/6813/5552/55207/7073",5
"GO:0140445","GO:0140445","chromosome, telomeric repeat region","5/5343","14/19944",0.357142857142857,1.33311943530922,0.754235329178919,0.312675486570026,0.540786466544976,0.371021629996968,"7520/55183/26277/79991/25913",5
"GO:1990531","GO:1990531","phospholipid-translocating ATPase complex","5/5343","14/19944",0.357142857142857,1.33311943530922,0.754235329178919,0.312675486570026,0.540786466544976,0.371021629996968,"23200/23250/286410/55754/148229",5
"GO:0031594","GO:0031594","neuromuscular junction","24/5343","81/19944",0.296296296296296,1.10599538336765,0.578233926585651,0.320047867129443,0.552282147132666,0.378908562110523,"3675/4593/1739/5663/1741/1399/80331/58512/23024/3911/9215/4038/9873/2064/3688/288/7402/81493/1398/22871/1674/3908/23607/10497",24
"GO:0032039","GO:0032039","integrator complex","7/5343","21/19944",0.333333333333333,1.2442448062886,0.677413969933595,0.322387202351039,0.554013013100304,0.380096070956153,"55726/26512/55174/57117/25896/25836/55656",7
"GO:0015935","GO:0015935","small ribosomal subunit","22/5343","74/19944",0.297297297297297,1.1097318542574,0.57206605103869,0.324007868108149,0.554013013100304,0.380096070956153,"55173/54505/51650/10240/6207/6206/64960/6230/64432/6210/6229/6189/113251/51023/3921/6201/118487/56945/51649/51021/28977/1654",22
"GO:0005767","GO:0005767","secondary lysosome","9/5343","28/19944",0.321428571428571,1.19980749177829,0.640009257831377,0.325367140505996,0.554013013100304,0.380096070956153,"3920/5289/5322/55014/27314/203228/2495/54734/219972",9
"GO:0031312","GO:0031312","extrinsic component of organelle membrane","9/5343","28/19944",0.321428571428571,1.19980749177829,0.640009257831377,0.325367140505996,0.554013013100304,0.380096070956153,"29887/523/51805/9550/526/528/56997/134957/8224",9
"GO:0033176","GO:0033176","proton-transporting V-type ATPase complex","9/5343","28/19944",0.321428571428571,1.19980749177829,0.640009257831377,0.325367140505996,0.554013013100304,0.380096070956153,"8992/523/529/9550/245973/526/528/23545/158376",9
"GO:0000803","GO:0000803","sex chromosome","11/5343","35/19944",0.314285714285714,1.17314510307211,0.620177553334937,0.325418944620021,0.554013013100304,0.380096070956153,"329/9555/7341/55791/1017/79677/245711/157570/23512/84333/23137",11
"GO:0030658","GO:0030658","transport vesicle membrane","73/5343","259/19944",0.281853281853282,1.05208344624403,0.510362100872405,0.326993235049291,0.555450562215425,0.381082341598798,"6856/9066/57586/23095/6720/3998/56681/10590/4986/966/9522/10959/10059/3710/162/10175/10490/10484/80331/63910/10483/94121/8766/1174/11196/9570/1182/5869/55754/10802/523/22937/23673/54812/26503/3709/80262/529/51014/5879/55014/9550/5861/8615/10427/1213/284612/5868/9718/64924/526/143187/130340/51128/528/6854/203547/10109/133308/164/6645/80723/10972/598/79772/9632/90411/8905/5071/8224/160/801/10497",73
"GO:0000805","GO:0000805","X chromosome","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"9555/55791/1017/84333",4
"GO:0030123","GO:0030123","AP-3 adaptor complex","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"8546/10239/1176/26985",4
"GO:0031094","GO:0031094","platelet dense tubular network","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"3710/3709/488/5104",4
"GO:0031588","GO:0031588","nucleotide-activated protein kinase complex","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"51422/5576/5562/5571",4
"GO:0035253","GO:0035253","ciliary rootlet","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"10615/5663/6787/3800",4
"GO:0071014","GO:0071014","post-mRNA release spliceosomal complex","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"6936/24144/1665/143884",4
"GO:1904090","GO:1904090","peptidase inhibitor complex","4/5343","11/19944",0.363636363636364,1.35735797049666,0.717150017694671,0.336988148372838,0.563621936069735,0.386688540411631,"5054/5269/1508/5104",4
"GO:0044665","GO:0044665","MLL1/2 complex","10/5343","32/19944",0.3125,1.16647950589556,0.570131263985959,0.345903848327992,0.573823656305536,0.393687714956146,"51230/57680/29915/5929/6874/54881/84661/1876/10445/11091",10
"GO:0042589","GO:0042589","zymogen granule membrane","6/5343","18/19944",0.333333333333333,1.2442448062886,0.627116255509698,0.346103887311749,0.573823656305536,0.393687714956146,"6813/9522/10959/8673/6809/10972",6
"GO:0071004","GO:0071004","U2-type prespliceosome","6/5343","18/19944",0.333333333333333,1.2442448062886,0.627116255509698,0.346103887311749,0.573823656305536,0.393687714956146,"23451/6631/6628/6637/55015/55660",6
"GO:0071010","GO:0071010","prespliceosome","6/5343","18/19944",0.333333333333333,1.2442448062886,0.627116255509698,0.346103887311749,0.573823656305536,0.393687714956146,"23451/6631/6628/6637/55015/55660",6
"GO:0005881","GO:0005881","cytoplasmic microtubule","35/5343","122/19944",0.286885245901639,1.07086643164183,0.47494495171158,0.349852744961587,0.578778128077756,0.39708686842322,"5048/65055/51512/332/22919/9545/135138/54867/81930/10376/10564/7283/55829/23281/7178/324/403/58477/55638/65983/79884/6990/221035/84790/84140/6288/9659/80258/146909/10383/389799/165186/23116/730112/145788",35
"GO:0002080","GO:0002080","acrosomal membrane","11/5343","36/19944",0.305555555555556,1.14055773909789,0.510609309203474,0.363976493764362,0.600837552613188,0.412221351540413,"9321/858/857/4179/148229/157680/2319/9101/51365/5870/5104",11
"GO:0030286","GO:0030286","dynein complex","16/5343","54/19944",0.296296296296296,1.10599538336765,0.471805467682938,0.367337814857623,0.605073759971105,0.415127719684167,"23386/1781/8701/8723/27019/55112/51164/51143/92749/55567/1780/27185/6990/10540/144132/127602",16
"GO:0005686","GO:0005686","U2 snRNP","9/5343","29/19944",0.310344827586207,1.15843481964801,0.51648297301305,0.368610763397833,0.605220036884451,0.415228077038091,"84844/23451/6628/6627/6637/9879/23350/6632/6635",9
"GO:0043601","GO:0043601","nuclear replisome","7/5343","22/19944",0.318181818181818,1.18768822418457,0.532817436858235,0.372399566732554,0.605220036884451,0.415228077038091,"23649/5424/10714/988/5558/5356/5557",7
"GO:0031462","GO:0031462","Cul2-RING ubiquitin ligase complex","14/5343","47/19944",0.297872340425532,1.1118783375345,0.464512777259371,0.37357049638075,0.605220036884451,0.415228077038091,"51666/10513/8453/116138/23008/57688/55527/56929/6921/79699/23588/25820/10116/11146",14
"GO:0043209","GO:0043209","myelin sheath","14/5343","47/19944",0.297872340425532,1.1118783375345,0.464512777259371,0.37357049638075,0.605220036884451,0.415228077038091,"64398/1739/51090/760/10382/5376/2064/3688/153562/5584/5728/302/377677/801",14
"GO:0031083","GO:0031083","BLOC-1 complex","5/5343","15/19944",0.333333333333333,1.2442448062886,0.572433108566626,0.373788984672394,0.605220036884451,0.415228077038091,"26258/23673/2647/23325/282991",5
"GO:0031616","GO:0031616","spindle pole centrosome","5/5343","15/19944",0.333333333333333,1.2442448062886,0.572433108566626,0.373788984672394,0.605220036884451,0.415228077038091,"6790/55171/663/23172/137886",5
"GO:0032156","GO:0032156","septin cytoskeleton","5/5343","15/19944",0.333333333333333,1.2442448062886,0.572433108566626,0.373788984672394,0.605220036884451,0.415228077038091,"5597/8550/5414/10801/151011",5
"GO:0098850","GO:0098850","extrinsic component of synaptic vesicle membrane","5/5343","15/19944",0.333333333333333,1.2442448062886,0.572433108566626,0.373788984672394,0.605220036884451,0.415228077038091,"523/9550/526/528/8224",5
"GO:0043197","GO:0043197","dendritic spine","48/5343","171/19944",0.280701754385965,1.04778510003251,0.379621501632368,0.380239986185364,0.614358024388666,0.421497448090156,"57679/9912/477/11178/387/4983/3781/8898/9762/23613/9371/29904/6505/51104/4355/1410/80315/8087/6801/9419/10564/64101/9026/8500/4131/9743/3706/5530/57451/3688/29/84885/2562/22871/3752/10243/5728/653464/257194/1072/10458/23109/5501/613/388336/647135/3908/6453",48
"GO:0005903","GO:0005903","brush border","31/5343","109/19944",0.284403669724771,1.06160336683339,0.39011991981997,0.383310711521266,0.618007312431533,0.424001143877226,"7414/60/832/5243/2683/10059/7430/4637/3710/6523/9368/4891/10096/103910/10672/5357/54407/948/3775/8884/2028/2768/23657/2059/5584/10999/2314/6584/4641/830/1192",31
"GO:0035580","GO:0035580","specific granule lumen","18/5343","62/19944",0.290322580645161,1.08369708934814,0.399275531505826,0.391241362422089,0.629460204657949,0.431858719842787,"1774/23071/7414/1265/5873/10562/3837/2444/25852/5768/84766/1794/8836/3608/5806/10855/3728/1991",18
"GO:0016471","GO:0016471","vacuolar proton-transporting V-type ATPase complex","8/5343","26/19944",0.307692307692308,1.14853366734332,0.458442893821948,0.394010371219606,0.631289003735364,0.433113418428302,"523/529/9550/245973/526/528/23545/158376",8
"GO:0005788","GO:0005788","endoplasmic reticulum lumen","88/5343","319/19944",0.275862068965517,1.02971983968712,0.323693145196457,0.394037157390668,0.631289003735364,0.433113418428302,"2519/23071/5954/11320/8974/54431/1906/1286/338/56605/57544/55741/111089941/1114/23193/51726/3053/5594/79879/7076/5611/55757/10148/55033/9562/8729/81619/1075/81029/3827/7474/7475/5768/80267/51060/5955/6696/2322/5033/718/3895/821/4189/813/4148/1284/5959/3915/56886/27348/1861/7057/102/2098/8720/54507/10130/10525/6868/10618/8404/375056/11096/1622/1293/56983/11167/153642/7184/2923/1285/79188/23491/8824/1605/80124/9403/1435/2157/6345/10345/1282/30001/54863/444/2153/81567/720",88
