"","Accuracy","Kappa","AccuracyLower","AccuracyUpper","AccuracyNull","AccuracyPValue","McnemarPValue"
"cm_lasso.overall",1,1,0.921294899593157,1,0.577777777777778,1.90211836535897e-11,NA
"cm_RF.overall",0.977777777777778,0.954128440366972,0.882295668581706,0.999437540284598,0.577777777777778,6.44525492262021e-10,1
"cm_SVMRFE.overall",0.955555555555556,0.907597535934292,0.848507099756661,0.994571511299749,0.577777777777778,1.07007101460437e-08,0.479500122186953
