"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa00020","Metabolism","Carbohydrate metabolism","hsa00020","Citrate cycle (TCA cycle)","5/2125","19/4848",0.263157894736842,0.600371517027864,-1.54168905271772,0.965180297574705,0.999999359168392,0.896572252865174,"3421/6389/50/3420/55753",5
"hsa00640","Metabolism","Carbohydrate metabolism","hsa00640","Propanoate metabolism","5/2125","19/4848",0.263157894736842,0.600371517027864,-1.54168905271772,0.965180297574705,0.999999359168392,0.896572252865174,"23417/5096/35/1892/593",5
"hsa04136","Cellular Processes","Transport and catabolism","hsa04136","Autophagy - other","5/2125","19/4848",0.263157894736842,0.600371517027864,-1.54168905271772,0.965180297574705,0.999999359168392,0.896572252865174,"11345/57521/64223/23192/11337",5
"hsa00790","Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","4/2125","16/4848",0.25,0.570352941176471,-1.52054937855089,0.965614217004382,0.999999359168392,0.896572252865174,"2356/5860/5092/200895",4
"hsa04137","Cellular Processes","Transport and catabolism","hsa04137","Mitophagy - animal","27/2125","79/4848",0.341772151898734,0.779723008190618,-1.7436574823363,0.969575725738515,0.999999359168392,0.896572252865174,"11345/139341/1869/79735/23770/5602/55626/7942/9927/6237/7186/84749/89941/7157/6233/79671/8878/11337/7314/3265/8408/3725/54543/107986346/51024/11331/7311",27
"hsa04150","Environmental Information Processing","Signal transduction","hsa04150","mTOR signaling pathway","41/2125","115/4848",0.356521739130435,0.813372890025575,-1.78915330551019,0.971130483119261,0.999999359168392,0.896572252865174,"1856/3479/10325/7481/9894/5595/8131/7249/208/11211/10641/28956/6794/84219/79899/6194/3480/57521/207/7483/6502/51256/107080638/5578/8324/8321/4041/5563/253260/7248/64223/7480/5293/3265/8408/8325/2535/55615/389541/534/7124",41
"hsa03320","Organismal Systems","Endocrine system","hsa03320","PPAR signaling pathway","14/2125","45/4848",0.311111111111111,0.709772549019608,-1.72774882969,0.971569897438135,0.999999359168392,0.896572252865174,"30/10998/28965/335/376497/9415/1593/6258/10873/3611/8309/126129/4973/6257",14
"hsa04931","Human Diseases","Endocrine and metabolic disease","hsa04931","Insulin resistance","28/2125","82/4848",0.341463414634146,0.779018651362984,-1.7826976143188,0.972072202168881,0.999999359168392,0.896572252865174,"5588/10998/4792/5834/2997/208/5602/5564/28965/53632/5524/5507/376497/7376/183/92579/207/5792/11000/148327/9586/5563/5293/22877/64764/2673/7124/90673",28
"hsa05100","Human Diseases","Infectious disease: bacterial","hsa05100","Bacterial invasion of epithelial cells","18/2125","56/4848",0.321428571428571,0.733310924369748,-1.77309902613341,0.973296354775129,0.999999359168392,0.896572252865174,"9564/1496/8218/79767/1759/26084/23157/25759/55752/1793/23176/3611/4735/5293/1731/71/26052/10552",18
"hsa00900","Metabolism","Metabolism of terpenoids and polyketides","hsa00900","Terpenoid backbone biosynthesis","5/2125","20/4848",0.25,0.570352941176471,-1.70072997706357,0.976091252448015,0.999999359168392,0.896572252865174,"91734/4597/9986/2342/100529261",5
"hsa04722","Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","30/2125","88/4848",0.340909090909091,0.777754010695187,-1.85850591842629,0.976444314511296,0.999999359168392,0.896572252865174,"4145/816/815/4792/5595/208/5602/397/5335/25759/5607/7157/207/4794/4915/814/808/27018/163688/5293/3265/627/3725/25970/9500/4908/6300/5336/4914/4215",30
"hsa04216","Cellular Processes","Cell growth and death","hsa04216","Ferroptosis","8/2125","29/4848",0.275862068965517,0.629354969574037,-1.76836077780367,0.977084883833773,0.999999359168392,0.896572252865174,"1356/7419/2937/30061/7157/246/2879/5094",8
"hsa05135","Human Diseases","Infectious disease: bacterial","hsa05135","Yersinia infection","35/2125","101/4848",0.346534653465347,0.790588235294118,-1.87864319634775,0.977088033419354,0.999999359168392,0.896572252865174,"920/9564/9138/2533/10454/4792/4773/5595/208/5602/7535/3676/644150/5335/3553/3661/7186/5880/4772/834/207/1793/925/7410/114548/5293/926/3725/3932/71/6300/27040/64283/7124/10552",35
"hsa00970","Genetic Information Processing","Translation","hsa00970","Aminoacyl-tRNA biosynthesis","9/2125","32/4848",0.28125,0.641647058823529,-1.79653167899835,0.978014108132656,0.999999359168392,0.896572252865174,"124454/54938/23438/10352/57505/79587/57176/51067/80222",9
"hsa05132","Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","65/2125","177/4848",0.367231638418079,0.837806580259222,-1.94181157981146,0.978885051172693,0.999999359168392,0.896572252865174,"27072/9265/5063/6932/5788/8655/3326/27128/10454/25828/4792/10398/10627/8717/5595/57617/79792/10671/208/9266/10392/5602/4633/55770/26084/10120/8743/3553/83658/3831/6237/7186/60412/5287/29109/11258/89953/834/51626/51176/207/375/6993/6934/5058/6188/83439/55823/114548/7846/399/5293/3265/375189/3725/23265/71/7100/6300/2316/1778/64601/7124/10552/140735",65
"hsa04668","Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","26/2125","79/4848",0.329113924050633,0.750844378257632,-1.97225348207579,0.982580900516783,0.999999359168392,0.896572252865174,"6376/64285/7185/7188/10454/4792/8717/5595/208/5602/7128/3553/7186/7187/207/148327/9586/7424/7412/5293/3725/64764/6300/1388/4049/7124",26
"hsa03050","Genetic Information Processing","Folding, sorting and degradation","hsa03050","Proteasome","7/2125","27/4848",0.259259259259259,0.591477124183007,-1.88027708452329,0.983298630763712,0.999999359168392,0.896572252865174,"5704/9491/5710/5692/5696/5699/5698",7
