"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa04020","Environmental Information Processing","Signal transduction","hsa04020","Calcium signaling pathway","89/2125","157/4848",0.56687898089172,1.29328437617085,3.2998803566355,0.000677292352564717,0.0145617855801414,0.013055701269833,"292/8913/6915/4843/3082/2324/816/4638/2263/2261/815/5566/489/6865/2260/108/7419/2778/5027/9127/4773/5332/7125/778/3356/10105/5023/57620/7942/2246/7134/5136/6869/84812/113/7852/5737/5335/3270/4772/5025/3357/5330/3973/51196/89869/5567/56034/4915/3363/7424/3708/1909/814/2911/5578/5137/9630/8817/776/8822/808/2905/4486/3360/107/5979/6786/2668/163688/136/80310/10800/7423/4485/93129/5021/2149/6546/53373/5333/6261/487/3269/5154/5336/4914/116443/6263",89
"hsa04723","Organismal Systems","Nervous system","hsa04723","Retrograde endocannabinoid signaling","52/2125","85/4848",0.611764705882353,1.39568719723183,3.25097273378241,0.000877818083867374,0.0177629071088457,0.0159257398497301,"4710/5566/11343/108/22999/2568/4713/5332/778/2564/5595/2557/5602/4717/4728/2784/2771/374291/4702/113/2791/4705/4695/5330/4704/5567/4726/54539/3708/2555/2911/5578/2890/776/2785/2560/4724/107/4714/94235/4723/4696/2783/111/112/126328/2788/56901/54331/2563/6300/4722",52
"hsa04640","Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","40/2125","63/4848",0.634920634920635,1.44851540616246,3.16518300643226,0.00123109417575843,0.023527577581161,0.0210941867542233,"920/933/960/7066/2323/3574/2208/921/3676/914/3553/3590/925/931/3815/911/913/917/915/3575/926/924/3119/1436/2811/3123/4311/3117/3127/916/3111/3108/3122/3115/3113/3120/7124/3118/3112/3109",40
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","76/2125","134/4848",0.567164179104478,1.29393503072871,3.04790280902301,0.00160455416578886,0.0290508754227036,0.0260462255166834,"6915/9170/6865/27334/1136/5027/2568/9127/1511/10857/2564/3356/6019/5023/1145/2557/2743/2690/2908/6869/3953/5737/10888/4987/554/2847/59340/80763/187/5025/183/3357/3973/3001/2846/2796/3363/2900/150/1909/2555/2911/2890/51738/5739/79957/2905/2560/7349/2912/4886/4889/2151/3360/136/10316/10800/255061/2918/66004/2147/53637/186/5021/2149/5179/53829/2894/256933/2563/344838/257313/3269/7442/116443/2550",76
"hsa04659","Organismal Systems","Immune system","hsa04659","Th17 cell differentiation","49/2125","81/4848",0.604938271604938,1.38011328976035,3.04736969132022,0.00173368848510846,0.0298194419438654,0.0267353013756199,"920/5588/30009/3326/3717/3594/3560/4792/4773/5595/50615/7040/7297/2625/5602/51561/7535/5335/3553/4772/5914/3662/6258/4794/3561/3460/861/917/915/3725/3119/3932/6300/3123/3117/3127/919/916/6257/3111/3108/3122/27040/3115/3113/3120/3118/3112/3109",49
"hsa05144","Human Diseases","Infectious disease: parasitic","hsa05144","Malaria","22/2125","32/4848",0.6875,1.56847058823529,2.84991499439265,0.00380024244093575,0.0622515904610428,0.055813084470886,"3683/3082/7042/959/7040/1311/975/3820/7060/7043/4035/3553/2995/7412/3592/7059/6383/6403/7058/3040/7124/3043",22
"hsa04913","Organismal Systems","Endocrine system","hsa04913","Ovarian steroidogenesis","18/2125","25/4848",0.72,1.64261647058824,2.84547898361949,0.00405836759705899,0.0634581115176497,0.0568948184659466,"3479/5566/949/108/2778/8605/113/1573/3973/3480/1583/5567/654/107/111/112/122970/641371",18
"hsa05416","Human Diseases","Cardiovascular disease","hsa05416","Viral myocarditis","33/2125","53/4848",0.622641509433962,1.42050166481687,2.71896429783795,0.00507144993822482,0.072974731988067,0.0654271617885668,"3683/2534/4625/6640/959/6445/6442/595/8082/8910/5880/842/6641/940/3119/5551/71/3123/3117/3127/3111/3108/3122/3133/3134/3105/3115/3113/3120/3106/3118/3112/3109",33
"hsa05164","Human Diseases","Infectious disease: viral","hsa05164","Influenza A","60/2125","106/4848",0.566037735849057,1.29136514983352,2.67918016195781,0.00509126037126049,0.072974731988067,0.0654271617885668,"292/4938/3717/8106/4792/8717/5595/208/7297/23586/4940/4939/64135/317/8743/3553/3661/7187/3337/29107/842/91543/1019/6041/90865/834/5371/207/5578/4599/3460/79671/114548/7098/3592/6773/5293/7177/3119/4261/4600/71/9230/3665/3123/51284/3117/64499/3127/3111/3108/3122/10379/3115/3113/3120/7124/3118/3112/3109",60
"hsa05030","Human Diseases","Substance dependence","hsa05030","Cocaine addiction","20/2125","29/4848",0.689655172413793,1.57338742393509,2.7356520329098,0.00544420840036346,0.0749123075890012,0.0671643394234313,"4129/5566/2778/8787/2771/1742/5567/148327/9586/2905/2912/1020/6571/111/627/8851/3725/64764/116443/1388",20
"hsa05169","Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","75/2125","137/4848",0.547445255474453,1.24894804637183,2.61098640381513,0.00597492287403118,0.079052825717951,0.0708766154692767,"3683/5704/864/7431/960/4791/7188/4938/29760/10454/4792/1869/8717/5971/2208/208/7297/23586/5602/595/1027/4940/4939/1647/7128/894/317/3661/7186/10912/7187/842/8900/1643/1019/953/55080/7157/207/6502/4794/10018/5710/917/915/6773/5293/3725/3119/3665/9636/6300/3123/9612/3117/5336/3127/919/916/3111/3108/3122/3133/3134/3105/10379/3115/3113/6892/3120/7124/3106/3118/3112/3109",75
"hsa04727","Organismal Systems","Nervous system","hsa04727","GABAergic synapse","32/2125","52/4848",0.615384615384615,1.40394570135747,2.58688565103186,0.00739130425772846,0.0941706912836515,0.0844308829440327,"6540/11345/5566/108/2568/778/2564/2557/6539/2784/2771/113/2791/2571/5567/2555/5578/6529/776/2785/2560/107/94235/11337/2783/111/112/2788/54331/2563/10991/2550",32
"hsa04820","Cellular Processes","Cell motility","hsa04820","Cytoskeleton in muscle cells","89/2125","167/4848",0.532934131736527,1.21584219795703,2.50736423174084,0.00778112174735493,0.0955966386103606,0.0857093485704885,"7431/9172/1462/1298/88/2192/8516/57644/3693/4625/825/1299/10398/6640/7125/8736/23439/2010/6445/7138/478/1311/9124/1277/6442/4633/2026/1297/7060/7134/3676/6711/64236/8082/8910/8048/482/7137/7140/1289/3691/480/4628/4629/4607/84665/3695/1291/1292/3339/58/22989/27063/84033/27295/7135/1465/70/57731/91010/9672/200539/2199/91977/1278/2200/4632/1281/7059/6383/442721/255631/83660/6641/6712/8557/118461/58529/5339/633/71/7058/1287/375790/9260/6709/64423/1302/131873",89
"hsa04061","Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","27/2125","43/4848",0.627906976744186,1.43251436388509,2.51640316771987,0.00927673931125759,0.110041321485262,0.0986600587367867,"6376/3560/6367/6369/6387/6355/8743/7852/1236/51554/6366/4283/9547/3561/56477/146433/8764/1234/5473/1524/6373/8794/3579/1436/1233/4049/7124",27
"hsa04974","Organismal Systems","Digestive system","hsa04974","Protein digestion and absorption","36/2125","61/4848",0.590163934426229,1.34640694310511,2.40498265330019,0.0117140206522725,0.129175091315804,0.115814876852909,"11136/1298/1307/1299/23439/478/1277/1303/1297/1294/7512/1300/81578/482/1289/480/5547/486/1291/1292/1295/1359/1278/1281/169044/255631/1296/80781/6546/7373/1287/4311/1305/1302/1306/131873",36
"hsa04340","Environmental Information Processing","Signal transduction","hsa04340","Hedgehog signaling pathway","23/2125","36/4848",0.638888888888889,1.45756862745098,2.43409115067807,0.0119447616524021,0.129175091315804,0.115814876852909,"57467/55733/5566/2121/2736/157/1954/23288/2737/595/2735/8643/894/6608/408/5567/23432/91653/64399/374654/132884/57758/1454",23
"hsa05033","Human Diseases","Substance dependence","hsa05033","Nicotine addiction","9/2125","11/4848",0.818181818181818,1.86660962566845,2.5416980973253,0.0120162875642608,0.129175091315804,0.115814876852909,"2568/2564/2557/2555/2890/2905/2560/2563/116443",9
"hsa00410","Metabolism","Metabolism of other amino acids","hsa00410","beta-Alanine metabolism","13/2125","18/4848",0.722222222222222,1.6476862745098,2.43175343115763,0.0140669520238101,0.146637318066384,0.13147103486368,"221/54498/51733/23417/35/1892/2571/8639/51380/223/339896/501/57571",13
"hsa04911","Organismal Systems","Endocrine system","hsa04911","Insulin secretion","31/2125","52/4848",0.596153846153846,1.36007239819005,2.30591912992328,0.0154877403818668,0.149754253907372,0.134265594843512,"816/815/5566/108/2778/5332/23439/778/478/113/482/54795/480/27345/486/5330/5567/148327/3782/3779/9586/5578/3778/776/107/111/112/64764/10242/1388/6844",31
"hsa05032","Human Diseases","Substance dependence","hsa05032","Morphine addiction","31/2125","52/4848",0.596153846153846,1.36007239819005,2.30591912992328,0.0154877403818668,0.149754253907372,0.134265594843512,"5566/108/2778/2568/157/2564/5143/2557/2784/2771/5136/113/2868/2791/408/5567/2555/5578/5137/2785/2560/107/94235/2783/111/112/2788/5142/54331/2563/2550",31
"hsa05140","Human Diseases","Infectious disease: parasitic","hsa05140","Leishmaniasis","33/2125","56/4848",0.589285714285714,1.34440336134454,2.28978732313624,0.0159270249434466,0.149754253907372,0.134265594843512,"4843/7042/3717/10454/4792/1917/5595/7040/3676/7043/3553/1915/653361/3460/2215/124905743/3592/3725/3119/6300/3123/3117/3127/3111/3108/3122/3115/3113/3120/7124/3118/3112/3109",33
"hsa05414","Human Diseases","Cardiovascular disease","hsa05414","Dilated cardiomyopathy","43/2125","76/4848",0.565789473684211,1.29079876160991,2.25705055977944,0.0164876642556958,0.149754253907372,0.134265594843512,"9254/3479/5566/489/8516/108/3693/2778/4625/7042/6640/778/2010/6445/7040/6442/4633/7134/3676/7043/113/8082/8910/7137/3691/4607/183/3695/59283/5567/781/776/70/107/784/6641/111/112/785/6546/71/487/7124",43
"hsa04724","Organismal Systems","Nervous system","hsa04724","Glutamatergic synapse","40/2125","70/4848",0.571428571428571,1.30366386554622,2.26053491784047,0.0165426210711631,0.149754253907372,0.134265594843512,"23154/9454/5566/108/2778/157/5332/5595/8605/2784/2771/113/2791/5338/1742/5330/5567/2900/3708/2911/5578/2890/776/2905/50944/22941/2785/6512/2912/107/94235/9229/2783/111/112/2788/2918/54331/10991/116443",40
"hsa05168","Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","63/2125","117/4848",0.538461538461538,1.22845248868778,2.20955342419917,0.0175274110164455,0.154600753580955,0.138610834758935,"972/5452/7188/29992/4938/3717/10454/6430/4792/8717/7249/208/7297/56829/23586/4940/4939/64135/6432/317/6431/3553/3661/7186/684/7187/842/6041/55080/5371/7157/207/8764/3460/7098/7248/3592/6773/5293/3119/10189/340061/3665/3123/3117/3127/3111/3108/3122/3133/3134/3105/10379/3115/4049/3113/6892/3120/7124/3106/3118/3112/3109",63
"hsa05217","Human Diseases","Cancer: specific types","hsa05217","Basal cell carcinoma","27/2125","45/4848",0.6,1.36884705882353,2.19577807703657,0.0207965963445231,0.170252967696284,0.152644184623658,"1856/2736/6932/7481/2737/2735/11211/10297/1647/8643/652/650/6608/10912/1643/51176/7157/7483/6934/83439/8324/8321/64399/374654/7480/8325/2535",27
"hsa05323","Human Diseases","Immune disease","hsa05323","Rheumatoid arthritis","32/2125","55/4848",0.581818181818182,1.32736684491979,2.15677320534494,0.0220731705307129,0.170252967696284,0.152644184623658,"3683/537/7042/10673/54/7040/6387/10312/51561/7043/3553/1513/9114/1493/3725/940/3119/3123/3117/3127/3111/3108/3122/534/3115/4050/3113/3120/7124/3118/3112/3109",32
"hsa04260","Organismal Systems","Circulatory system","hsa04260","Cardiac muscle contraction","33/2125","57/4848",0.578947368421053,1.3208173374613,2.15215887822551,0.022190740789234,0.170252967696284,0.152644184623658,"9254/489/6548/4625/23439/778/478/4633/1337/1347/7134/9167/1340/482/7137/3270/84701/480/1329/486/59283/781/1339/776/70/1346/27089/784/1351/785/6546/29796/487",33
"hsa04725","Organismal Systems","Nervous system","hsa04725","Cholinergic synapse","39/2125","69/4848",0.565217391304348,1.28949360613811,2.13937621277051,0.0222276255391818,0.170252967696284,0.152644184623658,"2534/816/815/5566/108/1136/43/3717/5332/778/5595/208/2784/2771/60482/9132/113/2791/5330/207/5567/148327/9586/3708/814/5578/776/2785/107/94235/3761/5293/2783/111/112/3265/2788/64764/54331",39
"hsa04713","Organismal Systems","Environmental adaptation","hsa04713","Circadian entrainment","34/2125","59/4848",0.576271186440678,1.31471186440678,2.14836891301413,0.0222714637974791,0.170252967696284,0.152644184623658,"8913/8863/816/815/5566/108/2778/5332/5595/2784/2771/113/2791/8864/5330/5567/55811/3708/5578/2890/776/808/2905/2785/107/94235/163688/2783/111/112/2788/54331/6261/6263",34
"hsa04726","Organismal Systems","Nervous system","hsa04726","Serotonergic synapse","34/2125","59/4848",0.576271186440678,1.31471186440678,2.14836891301413,0.0222714637974791,0.170252967696284,0.152644184623658,"4129/5566/2778/5742/1565/5332/778/3356/5595/8605/6532/2784/2771/2791/1573/3357/5330/5567/3363/3708/5578/776/246/2785/2560/3360/6571/94235/2783/111/3265/2788/3751/54331",34
"hsa05143","Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","13/2125","19/4848",0.684210526315789,1.56096594427245,2.16409763588495,0.0268285638127846,0.20063099894778,0.179880301994185,"5332/3910/335/3553/3620/5330/5578/7412/3592/4878/3040/7124/3043",13
"hsa04064","Environmental Information Processing","Signal transduction","hsa04064","NF-kappa B signaling pathway","37/2125","67/4848",0.552238805970149,1.25988410886743,1.89212537669486,0.038998751568546,0.28543767105489,0.255915659789115,"7185/5588/4791/7188/29760/29775/10454/4792/959/10673/8717/7329/5971/10848/23586/6387/7535/1647/7128/5328/5335/3553/7186/10912/60401/7187/6366/79092/7412/55367/3932/5336/84433/27040/4049/4050/7124",37
"hsa04925","Organismal Systems","Endocrine system","hsa04925","Aldosterone synthesis and secretion","34/2125","61/4848",0.557377049180328,1.27160655737705,1.88566964957218,0.0400492603831989,0.286647177236922,0.257000070166518,"8913/816/815/5566/949/108/2778/5332/23439/778/25865/478/113/482/480/183/5330/1583/5567/148327/9586/3708/814/5578/776/808/107/4881/163688/111/112/4878/64764/1388",34
"hsa03250","Genetic Information Processing","Information processing in viruses","hsa03250","Viral life cycle - HIV-1","31/2125","55/4848",0.563636363636364,1.28588663101604,1.88349136484123,0.0408305572227011,0.286647177236922,0.257000070166518,"920/7251/164668/51497/2648/7852/5300/200315/100913187/200316/684/55201/29969/1025/79869/9638/636/4599/1234/11168/4300/79643/4600/7469/9146/25920/6829/7936/60489/140564/27350",31
"hsa05415","Human Diseases","Cardiovascular disease","hsa05415","Diabetic cardiomyopathy","68/2125","132/4848",0.515151515151515,1.17527272727273,1.80346022380996,0.0436277440707865,0.300158879207011,0.269114295005062,"292/816/51660/4710/5165/815/6389/489/7419/4313/1215/7042/513/4713/5332/2997/208/7040/10105/1277/5602/4717/4728/1337/1347/374291/9167/1509/5524/4702/7043/1340/5880/7137/4705/84701/4695/517/183/1329/5330/4704/207/4726/54539/5578/1339/653361/1636/1346/4724/27089/1278/4714/4723/10476/1281/4696/5293/126328/1351/29796/56901/6300/487/2673/177/4722",68
"hsa00980","Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","14/2125","22/4848",0.636363636363636,1.45180748663102,1.87613143877258,0.0488231848597311,0.329317168465637,0.295256824848322,"221/8574/119391/2950/1565/1577/2949/4259/9446/874/22977/27306/2941/2946",14
"hsa00120","Metabolism","Lipid metabolism","hsa00120","Primary bile acid biosynthesis","8/2125","11/4848",0.727272727272727,1.65920855614973,1.93340701889152,0.0517384030342455,0.338644180784379,0.303619170654294,"10858/10998/80270/10005/1593/9023/8309/23600",8
"hsa04512","Environmental Information Processing","Signaling molecules and interaction","hsa04512","ECM-receptor interaction","34/2125","62/4848",0.548387096774194,1.25109677419355,1.75769204592507,0.0521748301789887,0.338644180784379,0.303619170654294,"960/1298/10319/8516/3693/22798/1299/1311/1277/7448/1297/3910/7060/3676/63923/3691/80144/3695/1291/1292/3339/9900/1278/158326/7148/7059/3913/2811/7058/1287/375790/5649/961/131873",34
"hsa04961","Organismal Systems","Excretory system","hsa04961","Endocrine and other factor-regulated calcium reabsorption","18/2125","30/4848",0.6,1.36884705882353,1.79005226171584,0.0547124963248954,0.345873928440012,0.310101165951418,"8218/5566/2778/2099/5332/23439/478/1759/482/480/486/5330/5567/5578/1173/112/6546/26052",18
"hsa04072","Environmental Information Processing","Signal transduction","hsa04072","Phospholipase D signaling pathway","55/2125","106/4848",0.518867924528302,1.18375138734739,1.6896429514465,0.0562808678542614,0.345873928440012,0.310101165951418,"9265/2534/56895/9846/1608/9170/108/2778/27128/5332/5595/7249/208/9266/8605/1759/113/5737/5335/6237/554/5338/25759/183/1607/5330/207/375/1609/56034/2846/8525/2206/2911/5578/3815/9162/5900/2912/107/7248/80310/5293/111/112/3265/2918/2205/2147/3579/2149/5154/5336/26052/10554",55
"hsa00240","Metabolism","Nucleotide metabolism","hsa00240","Pyrimidine metabolism","21/2125","36/4848",0.583333333333333,1.33082352941176,1.75985541199179,0.0563050581181415,0.345873928440012,0.310101165951418,"1890/22978/790/51733/1723/4832/4833/7372/84618/30833/1854/1635/4907/953/5169/7084/1841/79077/7378/5167/54963",21
"hsa00604","Metabolism","Glycan biosynthesis and metabolism","hsa00604","Glycosphingolipid biosynthesis - ganglio series","9/2125","13/4848",0.692307692307692,1.57943891402715,1.847877815313,0.0587360419191606,0.354477165266513,0.317814594317896,"3074/29906/6489/81849/2583/27090/30815/2720/3073",9
"hsa04024","Environmental Information Processing","Signal transduction","hsa04024","cAMP signaling pathway","68/2125","134/4848",0.507462686567164,1.15773134328358,1.63556484939257,0.0612958186728464,0.359278880701586,0.322119681901973,"816/815/5566/489/108/2778/6548/610/4792/10398/23439/778/5595/208/478/5143/2737/5602/2735/2771/64411/113/6237/5880/5338/482/7137/4772/480/486/3973/51196/207/5567/55811/148327/9586/5058/1909/814/2890/7074/51738/776/808/7410/2905/4886/64399/3360/107/4881/163688/5293/111/112/4878/627/3725/5021/2149/64764/5142/487/116443/2550/8843/5348",68
"hsa05410","Human Diseases","Cardiovascular disease","hsa05410","Hypertrophic cardiomyopathy","39/2125","73/4848",0.534246575342466,1.21883642224013,1.66412714330184,0.0616205057017256,0.359278880701586,0.322119681901973,"9254/3479/489/8516/3693/4625/7042/6640/778/2010/6445/7040/6442/4633/5564/7134/3676/53632/7043/8082/8910/7137/3691/4607/183/3695/59283/781/776/70/1636/5563/784/6641/785/6546/71/487/7124",39
"hsa04919","Organismal Systems","Endocrine system","hsa04919","Thyroid hormone signaling pathway","51/2125","99/4848",0.515151515151515,1.17527272727273,1.55640641910414,0.0733763668751731,0.414414102136415,0.371552423274081,"9440/5214/5566/4854/489/6548/2099/4625/5332/23439/5595/7249/208/478/2648/595/84812/5335/652/482/480/842/4853/2626/486/5330/51196/89869/7157/5211/207/5567/6258/116931/6567/4851/5578/9442/90390/5293/8841/3265/10025/9282/71/9968/5333/487/5336/6257/1734",51
"hsa04928","Organismal Systems","Endocrine system","hsa04928","Parathyroid hormone synthesis, secretion and action","40/2125","76/4848",0.526315789473684,1.20074303405573,1.55807808423579,0.0751562251525513,0.414414102136415,0.371552423274081,"5566/9138/2260/108/4208/2778/5332/5595/4324/5143/2625/1839/2771/1958/113/860/5338/3727/408/5330/5567/6258/148327/9586/3708/5578/4325/4041/107/65268/11214/111/112/64764/5142/4666/4326/6257/1388/632",40
"hsa04371","Environmental Information Processing","Signal transduction","hsa04371","Apelin signaling pathway","49/2125","95/4848",0.515789473684211,1.17672817337461,1.53665311470989,0.0764483091403933,0.414414102136415,0.371552423274081,"4843/4638/5566/4854/108/4208/6548/5332/5595/5327/208/4899/59/10014/595/4633/2784/5564/2771/53632/1490/1958/113/6237/10365/2791/187/6194/5330/207/5567/55811/3708/814/808/2785/5563/107/94235/163688/2783/111/112/3265/2788/6546/54331/6261/6263",49
"hsa04933","Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","39/2125","74/4848",0.527027027027027,1.20236565977742,1.54954297764765,0.0765872501754207,0.414414102136415,0.371552423274081,"50507/4313/7042/3717/5332/5595/208/7040/1277/5602/595/1027/84812/2152/7043/1958/5335/3553/4772/1019/183/5330/51196/207/7424/5578/7412/1278/1281/5293/7423/3265/3725/5333/6300/1287/5336/177/7124",39
"hsa04062","Organismal Systems","Immune system","hsa04062","Chemokine signaling pathway","57/2125","112/4848",0.508928571428571,1.1610756302521,1.52343931869307,0.0771603336960083,0.414414102136415,0.371552423274081,"6376/9564/5566/108/3717/157/4792/5332/5595/6367/208/6369/6387/6355/2784/3702/2771/113/7852/5335/2868/1236/2791/5880/25759/6366/408/5330/4283/207/5567/9547/5058/56477/7074/653361/7410/1234/58191/2785/5473/107/94235/1524/6373/6773/5293/10663/2783/111/112/3265/2788/3579/1233/54331/5336",57
"hsa04518",NA,NA,"hsa04518","Integrin signaling","56/2125","110/4848",0.509090909090909,1.16144598930481,1.51292789848117,0.078808140762483,0.414414102136415,0.371552423274081,"3683/3479/3082/2324/1298/10319/8516/3693/3682/22798/1299/55612/208/7040/3386/1311/1277/7448/595/1297/3910/7060/3676/894/63923/5880/81/3691/80144/3695/3480/3687/1291/1292/207/56034/7424/7412/1278/158326/2200/3611/7148/7059/80310/5293/83660/3913/7423/71/7058/1287/5649/2316/5154/131873",56
"hsa04650","Organismal Systems","Immune system","hsa04650","Natural killer cell mediated cytotoxicity","37/2125","70/4848",0.528571428571429,1.20588907563025,1.53267970763299,0.0795096823866377,0.414414102136415,0.371552423274081,"3683/2534/7305/3002/4773/5595/7535/962/8743/51744/5335/10870/5880/25759/4772/3824/3821/5058/5578/3460/7410/2215/124905743/5293/3265/5551/3932/4068/5336/117157/919/353091/3133/3105/27040/7124/3106",37
"hsa04926","Organismal Systems","Endocrine system","hsa04926","Relaxin signaling pathway","45/2125","87/4848",0.517241379310345,1.18004056795132,1.49683202443704,0.0829961329740346,0.426129399150267,0.382056040241825,"4843/5566/108/4313/2778/4792/5332/5595/208/7040/6019/59/1277/5602/2784/2771/113/2791/25759/408/5330/207/5567/148327/9586/7424/5578/2785/1278/107/94235/1281/5293/2783/111/7423/112/3265/2788/3725/64764/54331/6300/1287/1388",45
"hsa00190","Metabolism","Energy metabolism","hsa00190","Oxidative phosphorylation","42/2125","81/4848",0.518518518518518,1.18295424836601,1.46674490576314,0.0882820608405521,0.440530208695006,0.39496741477245,"1355/4710/537/6389/513/4713/64077/4717/4728/10312/1337/1347/374291/9167/4702/1340/4705/84701/4695/517/1329/4704/4726/54539/1339/9114/1346/4724/27089/4714/10632/4723/10476/521/4696/126328/1351/29796/56901/4722/534/267020",42
"hsa05200","Human Diseases","Cancer: overview","hsa05200","Pathways in cancer","171/2125","361/4848",0.473684210526316,1.08066873065015,1.40725547116333,0.0883621639533587,0.440530208695006,0.39496741477245,"1856/4843/3479/3082/2324/10319/7185/816/9170/119391/1496/2263/11186/2261/815/5566/2736/4854/9618/9138/4791/2260/108/6932/3595/7188/2950/7481/4313/2778/2323/22798/2099/7042/4436/3326/3717/3594/1439/3560/4792/79444/5332/1869/11040/5595/6923/3574/208/27113/7040/2737/6387/5602/595/51561/2735/1027/11211/2784/3910/2246/2771/10297/1647/7709/8643/894/7043/317/113/7852/5335/652/650/7186/2791/5880/6608/5338/112399/10912/7187/5914/842/8900/2949/4853/1643/1019/183/5330/6775/51176/3480/5371/7157/207/5567/6258/4259/7483/27436/6502/2846/3561/1029/4851/6934/9446/7424/1909/83439/10018/5578/8324/8817/8321/3815/8822/3460/861/1487/808/5900/2785/4041/64399/23462/107/5979/10023/374654/3481/94235/1613/3575/3592/367/7480/163688/6773/2941/5293/57449/3913/2783/9915/10125/111/1163/7423/112/3265/2788/8325/3725/2147/2535/2149/1436/10587/54331/1287/1612/5154/5336/4914/28514/6257/2946",171
"hsa04918","Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","27/2125","50/4848",0.54,1.23196235294118,1.45634591565555,0.0949862863675841,0.460637204792561,0.412994801114506,"5566/108/2778/5172/5332/23439/478/2882/113/482/480/486/5330/53905/50506/432/5567/148327/9586/3708/5578/493869/107/111/112/64764/1388",27
"hsa00511","Metabolism","Glycan biosynthesis and metabolism","hsa00511","Other glycan degradation","8/2125","12/4848",0.666666666666667,1.52094117647059,1.59598321593656,0.0964124382123966,0.460637204792561,0.412994801114506,"23324/3074/4126/4123/64772/2720/2517/3073",8
"hsa04744","Organismal Systems","Sensory system","hsa04744","Phototransduction","8/2125","12/4848",0.666666666666667,1.52094117647059,1.59598321593656,0.0964124382123966,0.460637204792561,0.412994801114506,"9187/8787/2979/5145/5158/9626/808/163688",8
"hsa04081","Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","52/2125","103/4848",0.504854368932039,1.15178069674472,1.37533723976825,0.101456359019382,0.470455588465885,0.421797697125166,"3479/5566/108/2778/9843/7066/2099/3717/5332/2784/2690/4883/2771/3953/6794/4093/4879/113/4987/554/2791/2847/10266/269/183/5330/3973/30061/3480/5567/6567/2796/150/9630/51738/2785/7349/107/3481/94235/4881/5293/2783/111/112/4878/2788/186/5021/5179/54331/1734",52
"hsa04927","Organismal Systems","Endocrine system","hsa04927","Cortisol synthesis and secretion","22/2125","40/4848",0.55,1.25477647058824,1.42922050898004,0.102570259113202,0.470455588465885,0.421797697125166,"8913/5566/949/108/2778/5332/778/113/183/5330/1583/5567/148327/9586/3708/776/107/111/112/64764/3739/1388",22
"hsa05150","Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","22/2125","40/4848",0.55,1.25477647058824,1.42922050898004,0.102570259113202,0.470455588465885,0.421797697125166,"3075/3683/2213/5648/2215/124905743/6403/3119/3858/3123/3117/3127/3111/3108/3122/3115/3113/3120/3118/3112/3109/629",22
"hsa04750","Organismal Systems","Sensory system","hsa04750","Inflammatory mediator regulation of TRP channels","33/2125","63/4848",0.523809523809524,1.19502521008403,1.37629716237722,0.106248808284246,0.472700254069179,0.423810203311718,"3479/816/5588/815/5566/108/2778/5332/3356/8605/5602/41/113/5335/3553/1573/3357/5330/5567/3708/5578/808/107/163688/5293/111/112/8398/6300/3269/7442/5336/4914",33
"hsa05145","Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","42/2125","82/4848",0.51219512195122,1.16852797704448,1.35954651592183,0.106438784658434,0.472700254069179,0.423810203311718,"4843/10319/22798/7042/3717/10454/4792/79444/959/5595/208/7040/7297/10105/5602/3910/2771/7043/842/207/3460/1234/3592/3913/3119/4261/6300/3123/3117/3127/3111/3108/3122/3303/3305/3115/3113/3120/7124/3118/3112/3109",42
"hsa00532","Metabolism","Glycan biosynthesis and metabolism","hsa00532","Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate","11/2125","18/4848",0.611111111111111,1.39419607843137,1.48001849660914,0.10750995906865,0.472700254069179,0.423810203311718,"64132/11285/79586/55501/26229/113189/50515/92126/126792/51363/337876",11
