"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007059","BP","GO:0007059","chromosome segregation","215/5224","434/18860",0.495391705069124,1.78849302404358,10.2859546411787,1.53434844547314e-22,9.70935696295402e-19,7.77187865222815e-19,"55732/996/9031/7756/4361/55166/8452/54908/57492/23369/55781/55706/23063/6047/387/3796/1459/998/56852/9319/8243/55743/60/4292/10615/7155/25978/81929/9183/6790/51433/332/51776/54930/6732/23411/79019/57820/4605/1457/9371/22919/128866/81610/55125/8780/10735/2491/10664/8766/9639/10270/898/56647/9126/3837/6603/64151/26271/26054/8899/7272/10051/8850/1894/150465/10096/51652/991/8289/10274/9928/84085/9525/27030/348995/91687/23397/81930/29899/79903/11130/64105/6491/55355/8239/10426/8678/9787/54617/90417/151648/55274/9113/7283/7153/5901/891/55207/55143/192670/324/9700/84101/83990/86/51759/10592/55755/51203/57082/55142/27229/10097/79172/3832/1062/6601/5925/9611/23421/83540/9391/2177/51143/1060/11011/54892/91782/54801/4288/3619/79980/140710/140609/79682/55835/115106/64682/9184/220134/64210/7273/286053/163786/701/9133/29127/147841/79677/56916/84142/151246/152185/245711/55193/79884/25836/9232/92421/5885/25879/9897/221150/23172/55839/81565/51647/84191/5347/81620/79003/201254/983/157570/51112/5728/8658/55055/11065/10540/9134/55844/51115/83903/348654/9212/23212/1104/285331/79598/80254/9735/157313/4733/146909/5501/51547/196528/10388/203068/51434/7405/9874/26112/23137/7150/9055/79441/1654/5520/3833/57132/26065/101928601",215
"GO:0044772","BP","GO:0044772","mitotic cell cycle phase transition","219/5224","461/18860",0.475054229934924,1.71506944421376,9.6209729058361,4.47592658952562e-20,1.41618317292591e-16,1.13358730256828e-16,"996/55904/10926/7756/51360/637/4361/6683/8554/8452/54908/23026/50484/57492/1112/8454/5218/55781/586/6873/2255/9319/55743/4140/60/1739/79960/7319/8556/1785/5933/2932/5243/4998/9183/51720/6790/51433/332/51776/63967/51322/8317/1033/5721/994/128866/5932/28984/2935/5934/8766/4683/898/2146/54619/23560/8453/219771/5889/6198/6603/55294/2305/26271/1871/896/8899/7272/900/10111/1981/90/991/8289/9928/51692/5537/9525/11130/1017/6491/1026/140901/9787/9088/54617/10776/1032/55274/9113/10197/26057/891/79577/902/55143/324/79616/51347/60561/9700/91/4193/57695/84101/55198/3364/86/55755/4609/81853/5962/57082/580/29766/1062/5530/79035/6601/5925/8451/8720/23476/83540/2029/163859/54465/51143/1956/91782/3619/1111/3688/26524/1977/2059/6868/55835/143384/5884/64682/9184/9510/220134/286053/163786/701/9133/8450/29980/8883/57551/147841/84142/11073/245711/59343/55193/92421/5885/9833/221150/8328/219736/144455/8065/5347/6240/11170/55159/25942/57099/84640/983/8493/51499/5356/6241/5728/8462/27085/23133/64859/55055/9024/545/11065/149420/10106/9134/55844/79915/51379/5426/83903/348654/9212/1104/84967/9735/4303/4582/79184/5087/1978/116224/123879/196528/51434/25959/641/79027/7027/801/23137/26058/1654/5591",219
"GO:0042254","BP","GO:0042254","ribosome biogenesis","160/5224","318/18860",0.50314465408805,1.81648318838067,9.08866166494112,6.51909328515223e-18,1.37509407694811e-14,1.10069743467202e-14,"51096/23517/55341/51491/51154/51602/55781/10885/54505/30836/51018/23016/7520/22894/84273/51729/102157402/27292/8602/8886/22803/51575/6175/1983/51550/8780/6839/90459/10775/85865/23560/4927/117246/55813/2483/6207/11103/4839/55003/23195/6206/705/55299/8850/84128/79954/56902/54955/80135/10969/6230/22868/55127/54853/11340/27340/2971/6125/5393/10199/88745/83732/10799/25983/23404/25926/6155/5901/57050/51388/6210/29889/134430/55226/84946/10200/9816/2752/11137/92856/51187/6229/29081/55759/8451/79631/84916/28987/80000/81875/163859/83939/166378/92345/6189/285855/64434/6129/84294/10556/22984/57647/153443/10557/55027/10600/51001/115416/8450/9669/23076/64216/23160/11157/84135/25879/65083/84881/9188/9790/9221/55720/3921/29063/51068/5036/84864/55006/51013/55636/5394/6201/90441/1964/401466/55272/1662/63899/23212/4869/55505/51335/51118/51547/9045/79979/161424/84154/55035/84549/55153/51441/55319/131870/220717/51202/1654/51406/5591/9724",160
"GO:0000819","BP","GO:0000819","sister chromatid segregation","124/5224","233/18860",0.532188841201717,1.92134026513483,8.75878715505684,1.3496719614338e-16,1.80234291593029e-13,1.44268981826079e-13,"996/9031/7756/8452/54908/57492/55781/23063/387/3796/9319/8243/55743/60/10615/7155/25978/81929/9183/51433/332/51776/23411/4605/9371/22919/128866/55125/10735/2491/8766/9639/10270/56647/9126/3837/6603/64151/26271/8899/7272/10051/8850/51652/991/8289/10274/9928/9525/23397/81930/11130/64105/8678/9787/54617/90417/55274/9113/7283/7153/5901/891/55143/324/9700/84101/86/10592/55755/51203/57082/3832/1062/6601/5925/83540/51143/1060/54892/91782/3619/64682/9184/220134/7273/286053/701/29127/147841/84142/152185/55193/79884/25836/92421/5885/221150/23172/5347/81620/79003/983/55055/11065/10540/51115/83903/348654/9212/23212/1104/285331/79598/9735/4733/146909/5501/196528/51434/9055/3833/57132/26065",124
"GO:1901987","BP","GO:1901987","regulation of cell cycle phase transition","212/5224","468/18860",0.452991452991453,1.63541707569273,8.61558451554137,1.43741352851218e-16,1.80234291593029e-13,1.44268981826079e-13,"55904/10926/1407/7756/51360/23376/637/4361/8452/54908/23026/50484/57492/5888/1112/5218/55781/5128/2255/9319/55743/4140/60/1739/57662/79960/8556/5933/4998/9183/51720/6790/51433/332/51776/79968/63967/8318/51322/988/8317/56241/5721/994/1457/9675/81610/5932/5127/28984/5934/8766/4683/84444/898/2146/23560/5889/6603/55294/8914/26271/1432/896/8899/7272/5810/10111/9555/1981/90/1386/991/5629/8289/9928/51692/9525/11130/1017/6491/1026/140901/9787/9088/440275/54617/1032/55274/10197/26057/891/79577/902/55143/9575/324/51347/60561/9700/4193/84101/55198/3364/83990/86/55755/81853/9656/5962/57082/1763/580/29766/1062/79035/6601/675/5925/8451/8720/23476/261726/83540/8444/25896/163859/54465/2177/51143/1956/3619/1111/144715/6868/55835/5884/9184/9510/220134/286053/163786/701/8450/29980/8883/57551/147841/84142/152110/11073/59343/55193/165918/92421/5885/221150/8328/219736/144455/252983/322/5347/6240/81620/11170/55159/10116/25942/57099/983/51499/5356/6241/5728/8462/27085/64859/55055/545/11065/149420/10106/9134/79915/51379/83903/4291/348654/9212/5781/4869/6657/84967/80254/9735/4303/4582/79184/5087/116224/123879/196528/51434/25959/641/79027/7027/26058/1654/5591/4067",212
"GO:0006260","BP","GO:0006260","DNA replication","146/5224","290/18860",0.503448275862069,1.81757934202883,8.68441111858946,1.70892185454832e-16,1.80234291593029e-13,1.44268981826079e-13,"10926/5980/58525/23649/4361/5981/259282/23338/50484/5982/5888/10721/23063/5424/55388/64710/5423/57662/10714/79960/55218/10269/546/4998/23594/8318/27154/8317/4174/5427/7528/51550/25939/64863/5932/9767/4683/54108/898/27000/6742/56652/23560/79991/9126/8882/8099/5985/8914/25842/254394/26271/51053/10111/604/54891/4999/5000/27101/51377/6418/23244/51426/1017/1026/2069/7270/92667/84515/54617/79733/26057/5111/4678/5983/84893/1660/57695/51455/86/51008/1763/580/94/675/5428/114799/4782/10498/163859/54465/5558/253714/1956/54107/6749/1111/22944/79596/5884/84897/29980/8208/5928/11073/59343/5984/7486/144455/9768/2021/6240/81620/7083/55159/2237/25942/201254/983/157570/246243/64318/9156/545/9134/79915/5426/253461/348654/80010/64785/64061/11124/5813/10445/57697/374393/641/79892/5557/11169/11177/7150/647309/5591/51750",146
"GO:0000070","BP","GO:0000070","mitotic sister chromatid segregation","107/5224","192/18860",0.557291666666667,2.01196800025523,8.72340259490959,2.33925663848037e-16,2.11468800118625e-13,1.69270720967933e-13,"9031/7756/8452/54908/23063/387/3796/9319/8243/10615/25978/81929/9183/51433/332/23411/4605/9371/22919/128866/55125/10735/2491/8766/9639/10270/56647/9126/3837/64151/26271/8899/7272/10051/8850/51652/991/10274/9928/9525/23397/81930/11130/64105/8678/9787/54617/90417/7283/5901/891/55143/324/9700/84101/10592/55755/51203/57082/3832/1062/5925/83540/51143/1060/54892/91782/3619/9184/220134/7273/286053/701/29127/147841/84142/152185/79884/25836/92421/5885/221150/23172/5347/81620/79003/983/55055/11065/10540/51115/83903/348654/9212/23212/1104/285331/79598/9735/4733/146909/5501/51434/9055/3833/57132/26065",107
"GO:0034504","BP","GO:0034504","protein localization to nucleus","166/5224","345/18860",0.481159420289855,1.73711077080143,8.55259416855391,3.57875104833452e-16,2.83079207923261e-13,2.26591447955075e-13,"51360/23649/25937/23633/1495/10758/55726/23534/10347/3843/8692/25885/55746/7037/10979/4140/143684/1906/5663/5241/2932/3842/2646/51194/57506/57192/114882/10762/7494/25777/2033/5905/6789/3839/23568/6788/51366/10430/5532/3837/4927/7531/7704/8882/4928/57122/1432/1871/7957/705/55374/4001/9631/3836/1894/868/200576/1386/7341/64121/55127/6950/51569/51307/3164/1434/1026/9972/51141/5469/8021/9113/5901/5562/9201/10526/10542/948/10574/4193/2752/55198/6426/7295/27348/1861/26953/129685/580/5910/53371/5530/9818/8720/3454/3068/26092/5295/908/9258/51501/9538/26524/22948/9531/3087/5903/3621/84897/55027/10694/9478/23515/3716/129401/152559/7203/80149/5580/7534/6850/7486/83860/10576/5347/7529/4088/6774/51068/25942/727851/163590/983/26108/81603/5356/1072/3728/137735/51574/84823/23212/3059/4869/3838/754/29110/3786/6612/4771/11261/10445/347/64771/6714/84154/10210/55035/23607/55705/2475/84455/10527/255919/96459/5534",166
"GO:0000075","BP","GO:0000075","cell cycle checkpoint signaling","104/5224","187/18860",0.556149732620321,2.00784532106035,8.57284667988308,7.41334502196396e-16,5.21240525544310e-13,4.17228260183516e-13,"1407/7756/51360/23376/4361/54908/5888/1112/9319/55743/57662/4998/9183/51720/332/51776/79968/63967/8318/51322/988/1457/9675/5932/4683/84444/8914/1432/8899/7272/5810/10111/1386/991/5629/11130/1017/1026/440275/891/55143/9575/324/51347/60561/84101/3364/83990/55755/9656/57082/1763/580/79035/675/8451/8720/23476/261726/83540/25896/163859/54465/2177/51143/3619/1111/144715/5884/9184/220134/701/29980/8883/57551/147841/84142/11073/165918/92421/221150/5347/81620/55159/10116/983/51499/64859/55055/545/83903/348654/9212/5781/80254/9735/4303/4582/79184/116224/641/26058/5591/4067",104
"GO:0072594","BP","GO:0072594","establishment of protein localization to organelle","212/5224","478/18860",0.443514644351464,1.60120332933932,8.24055310528718,2.33449557675186e-15,1.47726880096858e-12,1.18248344371894e-12,"4074/3920/5898/55750/7095/51360/23649/637/11231/23633/26262/55187/10758/29927/23534/3843/9697/23471/8692/55746/4734/1459/6720/3998/5289/5663/3842/10890/2646/2060/51194/54469/10075/57506/23409/55072/10762/51100/7494/2033/26520/6729/6789/1457/128866/8266/3839/22879/8766/6788/64089/51366/9512/11101/4591/3837/4927/7323/80273/55294/8882/23788/867/4928/57122/79158/4121/1432/1871/7957/55374/64083/9631/9555/3836/1894/868/6747/10254/22930/1386/7341/9789/25782/6950/29103/51569/51307/10434/3164/1434/8239/1026/9972/23163/51141/5469/8678/8021/23352/5189/25913/54832/60559/26061/5901/5562/8546/10526/9695/6272/10440/948/9648/55198/51028/4836/26953/23787/53371/950/5530/5830/9818/79035/675/6727/8720/9520/55204/10456/6726/51542/58477/5295/908/90678/51501/9538/9531/6728/5903/26175/3621/9868/55027/137492/3098/9530/9478/65018/84134/11267/3099/84885/7805/5194/129401/7855/152559/131474/245711/80149/55764/8314/5580/25836/5828/51271/6850/51762/7529/4088/6730/6774/56947/727851/983/84233/1072/22885/9804/3728/137735/6731/401505/56888/3059/4869/7485/3838/6734/754/29110/3786/26985/5071/7332/11261/7874/347/30849/23230/6262/55705/84455/100652748/10527/131118/54741/51025/5534",212
"GO:0098813","BP","GO:0098813","nuclear chromosome segregation","155/5224","323/18860",0.479876160990712,1.73247787065177,8.21851709389109,4.58365737314413e-15,2.63685307793237e-12,2.11067552914541e-12,"996/9031/7756/4361/55166/8452/54908/57492/55781/55706/23063/387/3796/998/9319/8243/55743/60/4292/10615/7155/25978/81929/9183/6790/51433/332/51776/23411/57820/4605/9371/22919/128866/81610/55125/10735/2491/8766/9639/10270/898/56647/9126/3837/6603/64151/26271/8899/7272/10051/8850/1894/150465/10096/51652/991/8289/10274/9928/9525/27030/23397/81930/11130/64105/8678/9787/54617/90417/151648/55274/9113/7283/7153/5901/891/55143/192670/324/9700/84101/83990/86/51759/10592/55755/51203/57082/10097/3832/1062/6601/5925/83540/2177/51143/1060/54892/91782/3619/79980/64682/9184/220134/7273/286053/701/9133/29127/147841/84142/152185/245711/55193/79884/25836/9232/92421/5885/25879/9897/221150/23172/5347/81620/79003/983/51112/5728/55055/11065/10540/9134/51115/83903/348654/9212/23212/1104/285331/79598/9735/4733/146909/5501/51547/196528/10388/51434/9055/3833/57132/26065/101928601",155
"GO:0016236","BP","GO:0016236","macroautophagy","184/5224","403/18860",0.456575682382134,1.64835707690028,8.14336011699276,5.9058599906137e-15,3.11435683505029e-12,2.49289458551168e-12,"3920/9690/51534/23376/823/54764/9821/535/23274/79142/55187/8454/9474/11178/81671/2773/55102/4943/55737/4734/1459/23503/6720/23032/7319/5289/57103/27244/5663/79876/25978/2017/55054/27102/10075/10059/10558/57192/1947/55763/55072/23256/51322/23411/51100/9342/23786/2033/10490/9517/3091/1457/128866/115201/8767/5862/6009/91452/6198/55294/26235/7957/1452/8992/8723/523/200576/10254/550/51652/22930/23341/5768/149371/64121/3964/23673/8673/8987/25782/22954/9525/51569/10434/5290/9559/10133/84938/8678/83460/3791/54832/58533/529/23647/5562/57533/1965/55207/29979/51028/10241/25934/55014/9550/9373/5861/23710/5830/25989/81631/4864/51506/245973/5899/5868/64422/9140/23092/26249/2631/526/91782/203228/90678/9538/5305/143187/291/9531/528/23367/64798/10670/137492/65018/11267/3099/26086/51375/7855/23001/64419/92421/5828/6850/55335/8945/440026/79837/64127/154/10015/9637/4534/165324/488/55254/664/140775/2629/54734/55432/29072/10193/29110/23545/5071/7874/4077/30849/64771/160760/6714/7405/987/801/2475/79065/6048/10206/7416/137886/57132",184
"GO:0006913","BP","GO:0006913","nucleocytoplasmic transport","164/5224","350/18860",0.468571428571429,1.69166484357909,8.08432813010617,1.08120780329716e-14,4.88705927090316e-12,3.911858608621e-12,"51360/23649/23633/23279/55341/10758/9877/55781/55706/65125/23534/3843/8692/55746/4734/143684/10411/5663/55437/2932/3842/2646/81929/51194/57506/10762/7494/8563/2033/5905/27351/5494/6789/55916/2332/3839/6788/51366/3837/4927/7531/8882/4928/57122/1432/6428/1871/7957/8899/55374/9631/3836/1894/868/22916/1386/7341/9887/55051/348995/56943/51569/51307/84248/3181/10212/3164/1434/57510/1026/9972/51141/57187/5469/79639/55795/8021/5901/10526/948/3178/84946/4193/1660/55198/23325/7295/4686/26953/51496/580/6741/53371/5530/9818/8720/57721/5295/51501/9538/1977/26019/9531/5784/127933/3087/5903/25909/3621/55027/23165/23049/9478/8888/129401/55677/152559/80145/80149/5580/51808/6850/65083/9147/259217/7529/4088/26263/6774/10768/51068/727851/983/10892/1072/3267/3728/5936/137735/51319/5781/3059/4869/29072/5571/3838/754/29110/3786/11260/155435/5501/11261/51547/347/161424/55153/55705/84455/10527/643136/5534/283131/92335",164
"GO:0051169","BP","GO:0051169","nuclear transport","164/5224","350/18860",0.468571428571429,1.69166484357909,8.08432813010617,1.08120780329716e-14,4.88705927090316e-12,3.911858608621e-12,"51360/23649/23633/23279/55341/10758/9877/55781/55706/65125/23534/3843/8692/55746/4734/143684/10411/5663/55437/2932/3842/2646/81929/51194/57506/10762/7494/8563/2033/5905/27351/5494/6789/55916/2332/3839/6788/51366/3837/4927/7531/8882/4928/57122/1432/6428/1871/7957/8899/55374/9631/3836/1894/868/22916/1386/7341/9887/55051/348995/56943/51569/51307/84248/3181/10212/3164/1434/57510/1026/9972/51141/57187/5469/79639/55795/8021/5901/10526/948/3178/84946/4193/1660/55198/23325/7295/4686/26953/51496/580/6741/53371/5530/9818/8720/57721/5295/51501/9538/1977/26019/9531/5784/127933/3087/5903/25909/3621/55027/23165/23049/9478/8888/129401/55677/152559/80145/80149/5580/51808/6850/65083/9147/259217/7529/4088/26263/6774/10768/51068/727851/983/10892/1072/3267/3728/5936/137735/51319/5781/3059/4869/29072/5571/3838/754/29110/3786/11260/155435/5501/11261/51547/347/161424/55153/55705/84455/10527/643136/5534/283131/92335",164
"GO:0010948","BP","GO:0010948","negative regulation of cell cycle process","152/5224","318/18860",0.477987421383648,1.72565902896164,8.07765486442215,1.2825984363526e-14,5.31725017844415e-12,4.25620597822098e-12,"1407/9031/7756/51360/23376/4361/54908/23026/5888/1112/23063/6196/9319/55743/1739/57662/79960/5933/546/4998/9183/51720/332/51776/79968/63967/8318/51322/988/23411/56241/655/1457/9675/5932/28984/5934/4683/84444/2146/23560/4591/8914/26271/1432/8899/7272/5810/10111/9555/604/8850/90/1386/991/5629/11130/1017/1026/140901/9088/3976/440275/79733/1032/891/79577/55143/9575/324/51347/60561/9700/84101/3364/83990/55755/9656/57082/1763/580/79035/675/5925/8451/8720/10040/23476/261726/83540/25896/163859/54465/2177/51143/3619/1111/144715/5884/9184/220134/701/29980/8883/57551/147841/84142/11073/165918/92421/5885/221150/8328/144455/322/5347/81620/11170/55159/10116/57099/983/51499/5728/10201/27085/8658/64859/55055/545/149420/10106/51379/83903/348654/9212/5781/4869/6657/80254/9735/4303/4582/79184/116224/123879/25959/641/79027/26058/5591/4067",152
"GO:0022613","BP","GO:0022613","ribonucleoprotein complex biogenesis","216/5224","496/18860",0.435483870967742,1.57221014671738,7.99337465213785,1.34443746610471e-14,5.31725017844415e-12,4.25620597822098e-12,"6936/51096/11171/23517/55341/51491/51154/51602/55781/1975/11218/10885/54505/30836/51018/23016/7520/1653/25929/22894/26747/84273/51729/8668/102157402/27292/8602/8886/22803/51575/6175/6732/84844/10419/1983/23405/51550/8780/100101490/6839/8669/3646/90459/10775/85865/8662/7458/23064/8661/23560/4927/117246/55813/2483/6207/11103/4839/55003/23195/6206/705/8899/55299/8850/84128/23451/79954/56902/54955/80135/10969/58155/6230/22868/55127/54853/11340/27340/8161/2971/6125/5393/27161/10199/88745/6631/83732/10799/6628/8894/192669/25983/23404/25926/6155/6627/5901/57050/51388/22889/6210/29889/192670/134430/6733/55226/84946/10200/9816/2752/1660/11137/6426/92856/4686/96764/51187/6229/29081/55759/8451/79631/84916/28987/80000/10907/81875/163859/6637/55164/83939/166378/92345/6189/9879/285855/64434/6129/8667/84294/10556/22984/10480/10658/57647/153443/79833/10557/55027/10600/51001/115416/8450/9669/23076/64216/23160/11157/84135/10569/25879/65083/84881/8559/9188/9790/9221/6632/55720/3921/29063/10713/51068/5036/84864/55006/51013/55636/5394/6201/10978/90441/1964/10594/545/401466/55272/1662/63899/23212/8575/4869/6635/55505/51335/51118/55015/51547/10772/9045/79979/161424/84154/55035/84549/55153/51441/55319/131870/220717/51202/1654/51406/28985/5591/9724",216
"GO:0140014","BP","GO:0140014","mitotic nuclear division","138/5224","281/18860",0.491103202846975,1.77301041456622,8.0806213344341,1.47426551837689e-14,5.48773658840529e-12,4.39267224422886e-12,"9031/7756/6683/8452/54908/23063/387/3796/998/9319/8243/10615/1906/8556/4779/25978/81929/9183/6790/51433/332/23411/10419/4605/655/9371/22919/128866/55125/10735/2491/28984/8766/9639/10270/858/56647/9126/3837/64151/26271/8899/7272/5159/10051/8850/51652/991/10274/9928/9525/23397/81930/11130/64105/2069/8678/9787/9088/54617/90417/7283/5901/891/55143/324/9700/84101/79866/10592/55755/51203/57082/3832/9585/1062/1950/5925/10040/83540/51143/1060/55023/54892/91782/4288/3619/1111/2059/9184/220134/7273/10600/286053/701/29127/147841/148362/84142/152185/79884/25836/92421/5885/221035/221150/23172/81565/5347/81620/79003/983/10201/27085/55055/11065/10540/55844/51115/23141/83903/348654/9212/23212/1104/285331/79598/9735/157313/4733/146909/5501/51434/9055/137886/3833/57132/26065",138
"GO:1901990","BP","GO:1901990","regulation of mitotic cell cycle phase transition","166/5224","357/18860",0.464985994397759,1.6787204927913,8.01348473394917,1.74498381352472e-14,6.13458753999135e-12,4.91044567876079e-12,"55904/7756/51360/637/4361/8452/54908/23026/50484/57492/1112/55781/2255/9319/55743/4140/60/1739/79960/8556/5933/4998/9183/51720/6790/51433/332/51776/63967/51322/8317/5721/994/5932/28984/5934/8766/4683/898/2146/23560/5889/6603/26271/896/8899/7272/10111/1981/90/991/8289/9928/51692/9525/11130/1017/6491/1026/140901/9787/9088/54617/1032/55274/10197/26057/891/79577/902/55143/324/51347/60561/9700/4193/84101/55198/3364/86/55755/81853/5962/57082/580/29766/1062/79035/6601/5925/8451/8720/23476/83540/163859/54465/51143/1956/3619/1111/6868/55835/5884/9184/9510/220134/286053/163786/701/8450/29980/8883/57551/147841/84142/11073/59343/55193/92421/5885/221150/8328/219736/144455/5347/6240/11170/55159/25942/57099/983/51499/5356/6241/5728/8462/27085/64859/55055/545/11065/149420/10106/9134/79915/51379/83903/348654/9212/84967/9735/4303/4582/79184/5087/116224/123879/196528/51434/25959/641/79027/7027/26058/1654/5591",166
"GO:1901988","BP","GO:1901988","negative regulation of cell cycle phase transition","135/5224","274/18860",0.492700729927007,1.7787779032204,8.03735874969615,2.06606070535468e-14,6.57846574069999e-12,5.26574907582812e-12,"1407/7756/51360/23376/4361/54908/23026/5888/1112/9319/55743/1739/57662/79960/5933/4998/9183/51720/332/51776/79968/63967/8318/51322/988/56241/1457/9675/5932/28984/5934/4683/84444/2146/23560/8914/26271/1432/8899/7272/5810/10111/9555/90/1386/991/5629/11130/1017/1026/140901/9088/440275/1032/891/79577/55143/9575/324/51347/60561/84101/3364/83990/55755/9656/57082/1763/580/79035/675/5925/8451/8720/23476/261726/83540/25896/163859/54465/2177/51143/3619/1111/144715/5884/9184/220134/701/29980/8883/57551/147841/84142/11073/165918/92421/5885/221150/8328/144455/322/5347/81620/11170/55159/10116/57099/983/51499/5728/64859/55055/545/149420/10106/51379/83903/348654/9212/5781/6657/80254/9735/4303/4582/79184/116224/123879/25959/641/79027/26058/5591/4067",135
"GO:0045786","BP","GO:0045786","negative regulation of cell cycle","181/5224","399/18860",0.453634085213033,1.63773714531351,7.96925948902111,2.07916110641592e-14,6.57846574069999e-12,5.26574907582812e-12,"1407/9031/7756/51360/23376/4361/54908/23026/64848/5888/1112/23063/3843/5774/6196/9319/55743/1739/57662/79960/5933/546/4998/9183/51720/23368/332/51776/79968/63967/8318/51322/988/23411/25/56241/655/1457/51654/9675/5932/6839/28984/5934/7976/4683/84444/2146/10488/23560/4591/9368/8914/26271/1432/51053/51696/7957/8899/7272/5810/10111/9555/604/8850/90/1386/991/5629/11130/3164/1017/1026/140901/9088/3976/440275/79733/1032/9113/891/79577/55143/9575/2113/324/51347/60561/9700/84101/3364/83990/3586/55755/9656/57082/1763/580/79035/675/5925/8451/8720/10040/23476/261726/83540/25896/7159/163859/388/54465/2177/51143/3619/1111/26524/144715/5796/5884/9184/220134/701/115572/29980/8883/57551/147841/4880/84142/11073/165918/3248/92421/5885/221150/8328/144455/322/5347/81620/11170/55159/10116/57099/983/51499/5728/10201/27085/8658/64859/55055/545/149420/10106/51379/83903/168451/348654/9212/5781/247/4869/6657/80254/64061/9735/4303/4582/79184/116224/123879/25959/641/79027/26058/10527/647309/5591/4067",181
"GO:0006261","BP","GO:0006261","DNA-templated DNA replication","94/5224","171/18860",0.549707602339181,1.98458755362116,8.00528471796935,4.73099654502802e-14,1.42560695890178e-11,1.1411305952218e-11,"10926/5980/58525/23649/4361/5981/259282/50484/5982/5888/10721/5424/55388/64710/5423/57662/10714/55218/10269/546/4998/23594/8318/8317/4174/5427/25939/64863/5932/4683/54108/898/6742/56652/8882/8099/5985/8914/25842/254394/26271/51053/10111/604/4999/5000/1017/92667/84515/54617/79733/5111/5983/84893/1763/580/675/5428/10498/54465/5558/253714/54107/29980/11073/59343/5984/7486/144455/2021/6240/81620/7083/55159/2237/201254/983/64318/9156/545/9134/79915/5426/348654/5813/57697/641/79892/5557/11169/11177/647309/5591/51750",94
"GO:0016072","BP","GO:0016072","rRNA metabolic process","131/5224","270/18860",0.485185185185185,1.75164483012875,7.69967297581929,2.15485915685589e-13,6.19815852026549e-11,4.96133122621557e-11,"51096/23517/51154/51602/55781/10885/51018/25885/6949/23016/22894/51729/102157402/27292/8602/8886/22803/51575/8780/6839/90459/10775/221830/23560/117246/55813/2483/11103/4839/55003/705/55299/9555/54464/8850/4691/2976/84128/9014/79954/80135/10969/10849/6230/9330/55127/54853/11340/27340/2971/6125/5393/10199/88745/83732/10799/9329/84172/25983/23404/25926/6155/57050/134430/55226/10200/11137/92856/4609/6229/29081/55759/84916/28987/163859/92345/285855/6129/84294/10556/22984/57647/153443/10557/112495/84365/9191/23076/64216/23160/11157/84135/25879/65083/84881/9188/9790/9221/115752/4141/55720/29063/5036/55006/51013/55636/5394/6201/55106/55272/1662/63899/23212/55505/51118/51082/51547/9045/79979/161424/84154/55035/84549/51441/131870/2475/7150/51202/51406/5591/9724",131
"GO:0006413","BP","GO:0006413","translational initiation","89/5224","162/18860",0.549382716049383,1.9834146295351,7.7806165448917,2.32084537843625e-13,6.38535198032373e-11,5.1111706915493e-11,"56919/7812/1975/4287/54505/8672/1653/9689/2932/8668/4528/27102/51776/9681/8846/1983/1457/100101490/2332/5611/123263/8669/3646/8662/6009/7458/8661/6198/1982/10988/8087/22916/10289/1981/8890/64121/8892/51247/10987/219402/27161/400961/8894/23352/468/440275/5562/1965/9811/4076/9470/4686/83939/8893/6189/8667/1979/10480/1977/127933/3087/23367/10670/4690/9669/1973/151556/317649/7884/6059/7532/10605/1964/5936/84285/56888/220441/4869/64410/29110/253943/1978/51441/2475/26058/23/1654/28985/100127983",89
"GO:0140694","BP","GO:0140694","membraneless organelle assembly","193/5224","446/18860",0.432735426008969,1.56228754489455,7.43822380887501,7.1164698376016e-13,1.87637588051429e-10,1.50194968677802e-10,"8837/7812/7756/5601/51154/23369/9474/65125/6047/54505/387/4205/3796/23210/9948/8243/4292/10615/10529/1906/7520/2932/25978/84273/55239/6790/332/27327/54930/7430/1983/4605/1457/8760/9371/22919/128866/79959/55125/10735/2332/9100/9738/8766/22995/9639/56647/9126/4591/3837/1656/4848/4839/26271/23195/9444/26054/57472/55299/5159/8850/8087/550/51652/991/23215/5629/10274/22868/9525/5357/55269/29899/11155/6125/64105/1017/6491/27161/23019/10426/8678/9787/2318/54617/158747/5562/51388/1965/55143/5156/4076/149041/3936/28988/7111/55755/55142/27229/3832/29766/9908/246175/1062/282809/79631/91807/9611/4089/2886/127294/844/9898/8994/83939/1060/10146/4478/91782/80005/54801/203228/3619/3688/57647/25819/140609/55835/115106/220134/7273/51001/163786/9133/9669/29127/124093/84142/152185/79884/92421/25879/9897/1073/221150/23172/85459/5347/219988/79003/3921/153241/201254/51112/5728/257194/51778/8658/1964/285590/9662/1466/2314/9212/23212/1104/285331/4869/79598/51335/80254/9735/4733/253943/4604/203068/65267/6714/128486/84154/4624/51441/26112/29883/9055/1874/79441/1654/3833/10324/5591/57132/26065",193
