"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0032970","BP","GO:0032970","regulation of actin filament-based process","154/5224","402/18860",0.383084577114428,1.38303505443685,4.80481471813532,2.0357601510053e-06,7.76041580455515e-05,6.21184391035987e-05,"5898/55971/9912/477/27067/1829/395/26999/5318/10787/1265/10565/387/6093/6710/57704/998/9948/10979/55160/6717/1739/832/1906/10411/55604/2017/118/55616/1832/25/11078/9463/4627/28984/23406/10391/9639/136319/857/4233/23189/5216/10094/4739/8936/5144/5159/1894/55704/7341/829/5629/54942/23433/2185/5290/3071/57580/7408/8195/11034/10142/51429/9026/9113/8500/85415/23647/51763/10810/23075/9475/1824/5156/23325/5879/7111/81873/9873/5962/29766/10021/55435/54509/55114/91807/85464/4089/128272/27/10456/23671/817/5295/5921/23500/58527/203228/775/5756/2241/2059/51571/123720/9530/4690/10163/2909/57551/10630/10092/10109/5580/10395/6522/9897/1073/3636/4088/1398/5345/11170/9788/1901/5581/171024/253725/387680/1072/51126/3728/488/10458/2314/2885/23580/91663/3059/5062/29119/6331/5071/4771/643338/2764/25959/6281/23607/5350/6262/2475/830/3690",154
"GO:0007029","BP","GO:0007029","endoplasmic reticulum organization","51/5224","103/18860",0.495145631067961,1.78760463283724,4.96092433717936,2.06344254576994e-06,7.79276952546738e-05,6.23774152580828e-05,"29927/65125/9697/23471/65055/3998/10890/10959/55151/22931/55969/8266/23420/10430/858/57003/55161/10162/22930/57488/25782/64225/55831/6253/23065/83460/51234/7905/10328/51124/56851/55627/27348/5830/9980/54499/844/80856/375056/221035/93380/163590/23204/84522/80124/7485/25923/283820/10345/57698/439",51
"GO:0007094","BP","GO:0007094","mitotic spindle assembly checkpoint signaling","29/5224","48/18860",0.604166666666667,2.18119895354773,5.07158379281246,2.09350635165843e-06,7.79276952546738e-05,6.23774152580828e-05,"7756/54908/9319/9183/332/8899/7272/991/11130/891/55143/324/84101/55755/57082/83540/51143/3619/9184/220134/701/147841/221150/5347/55055/83903/348654/9212/9735",29
"GO:0071173","BP","GO:0071173","spindle assembly checkpoint signaling","29/5224","48/18860",0.604166666666667,2.18119895354773,5.07158379281246,2.09350635165843e-06,7.79276952546738e-05,6.23774152580828e-05,"7756/54908/9319/9183/332/8899/7272/991/11130/891/55143/324/84101/55755/57082/83540/51143/3619/9184/220134/701/147841/221150/5347/55055/83903/348654/9212/9735",29
"GO:0071174","BP","GO:0071174","mitotic spindle checkpoint signaling","29/5224","48/18860",0.604166666666667,2.18119895354773,5.07158379281246,2.09350635165843e-06,7.79276952546738e-05,6.23774152580828e-05,"7756/54908/9319/9183/332/8899/7272/991/11130/891/55143/324/84101/55755/57082/83540/51143/3619/9184/220134/701/147841/221150/5347/55055/83903/348654/9212/9735",29
"GO:0033157","BP","GO:0033157","regulation of intracellular protein transport","69/5224","152/18860",0.453947368421053,1.63886817925365,4.89482070917268,2.19334826685901e-06,8.11667124718351e-05,6.49700945529427e-05,"9912/22902/3843/8692/51009/143684/5108/10411/5663/2932/55741/111089941/57506/7494/2033/5905/5494/51201/79752/51366/7531/8882/1432/7957/55754/8899/11235/1894/7341/8934/51569/5901/9695/948/4193/9648/3936/7295/51496/9585/580/9818/5295/9538/9531/5784/127933/9478/5116/80149/5580/23379/81565/7529/4088/983/3728/9024/5781/3059/55432/7327/11261/51547/347/5770/444/51465/84455",69
"GO:0061136","BP","GO:0061136","regulation of proteasomal protein catabolic process","89/5224","209/18860",0.425837320574163,1.53738358844347,4.83530528494607,2.40625410389029e-06,8.85277672640568e-05,7.08622689591193e-05,"2729/23376/8554/5601/57095/8975/4287/1459/28951/55743/10644/3093/29843/4983/5663/4779/2932/5705/6790/25831/51322/23411/7494/27351/5706/5700/5721/1457/9097/2332/9683/857/55294/9532/7957/1452/10213/7341/51377/991/5887/1017/8239/51105/863/10197/29979/4193/55270/64844/55212/160418/81542/64326/7110/81545/2768/11011/8667/210/57630/29761/153769/65018/5701/79699/152559/285671/8945/9529/5347/26263/8313/84640/4534/9655/80011/344558/165324/11146/2629/122809/5071/7874/116224/6613/51136/6815/2475",89
"GO:0044091","BP","GO:0044091","membrane biogenesis","38/5224","70/18860",0.542857142857143,1.95985561146357,4.97976623598083,2.42939943293044e-06,8.88626567143573e-05,7.11303320429649e-05,"6683/4034/25978/9929/11252/128866/858/857/2054/57515/51652/9525/4038/10211/8826/57502/91782/7357/288/116238/57190/148362/92421/221035/8800/11141/22871/5728/165324/23141/1104/302/727910/6281/9935/2013/137886/57132",38
"GO:0071214","BP","GO:0071214","cellular response to abiotic stimulus","138/5224","355/18860",0.388732394366197,1.40342514505101,4.7495232036392,2.75211237835582e-06,9.95163836013466e-05,7.96581339226961e-05,"2729/23028/1407/477/578/159/5888/23596/8531/65125/5424/1265/6416/7132/8692/64710/4734/10714/7520/10269/5978/5243/57192/51776/4214/23411/2033/7528/4776/51311/7076/10725/9683/8797/5608/55294/1410/23788/10635/6337/4055/1432/5810/1894/3373/3694/54206/6513/9994/2805/7010/8795/5290/51426/94233/84329/60598/5269/1026/2002/468/440275/54617/5111/1965/54407/9575/9958/4193/3775/51719/3364/4836/6326/10010/7099/4609/580/2247/675/8451/123041/9990/25896/163859/388/79823/84236/5295/11011/5995/9538/1111/144715/9531/5796/5603/8450/476/5580/25836/7486/26012/8772/3954/10746/51499/80131/3777/84230/55144/598/5728/4615/9943/1605/3981/170506/545/664/2828/2885/9212/5781/4869/6517/79184/5138/11261/65267/641/23230/27347/92241/2475/1654/441027/3690",138
"GO:0104004","BP","GO:0104004","cellular response to environmental stimulus","138/5224","355/18860",0.388732394366197,1.40342514505101,4.7495232036392,2.75211237835582e-06,9.95163836013466e-05,7.96581339226961e-05,"2729/23028/1407/477/578/159/5888/23596/8531/65125/5424/1265/6416/7132/8692/64710/4734/10714/7520/10269/5978/5243/57192/51776/4214/23411/2033/7528/4776/51311/7076/10725/9683/8797/5608/55294/1410/23788/10635/6337/4055/1432/5810/1894/3373/3694/54206/6513/9994/2805/7010/8795/5290/51426/94233/84329/60598/5269/1026/2002/468/440275/54617/5111/1965/54407/9575/9958/4193/3775/51719/3364/4836/6326/10010/7099/4609/580/2247/675/8451/123041/9990/25896/163859/388/79823/84236/5295/11011/5995/9538/1111/144715/9531/5796/5603/8450/476/5580/25836/7486/26012/8772/3954/10746/51499/80131/3777/84230/55144/598/5728/4615/9943/1605/3981/170506/545/664/2828/2885/9212/5781/4869/6517/79184/5138/11261/65267/641/23230/27347/92241/2475/1654/441027/3690",138
